# Parameter Name         Median           Upper 68 CI      Lower 68 CI 
P_p1                   3.4058820486     0.0000003708     0.0000003567
a_p1                   7.9522602241     0.1623209141     0.1739014632
t0_p1                  2455873.8711930024     0.0002944237     0.0003003194
b_p1                   0.7632949209     0.0129809308     0.0144196108
p_p1                   0.1257628485     0.0010406016     0.0010725341
q1_TESS                0.2495184193     0.0961764920     0.0737704893
q2_TESS                0.4424063888     0.2249161817     0.2111492634
ecc_p1                 0.0219516992     0.0205193359     0.0138993089
rho                    820.0961233198     51.2513697241     52.6342366234
K_p1                   56.8154902476     2.2347657743     2.2464799432
mu_HIRES-5             2.6960055337     1.9510266352     1.9053956683
sigma_w_HIRES-5        5.6000630817     2.0803367999     1.8561632177
mu_HARPSN-9            -5.8103449495     13.5517956274     14.2469916862
sigma_w_HARPSN-9       51.7559845528     12.4754611079     9.1815187425
mu_CORALIE-23          1.9589122291     3.7665570590     3.8657241560
sigma_w_CORALIE-23     0.1045042806     2.4005297191     0.0985569737
mu_HARPS-23            7.5839130674     2.6233095795     2.7023354237
sigma_w_HARPS-23       0.0835467210     1.0134950893     0.0778405521
mu_CORALIE-26          2.2528252612     3.6626861643     3.7582489000
sigma_w_CORALIE-26     0.1295448028     2.6831057271     0.1231429285
mu_HARPS-26            17.5418581830     3.3038363738     3.2407325726
sigma_w_HARPS-26       0.0922054892     1.2398018277     0.0864671844
mflux_EulerCAM-26      0.0003434541     0.0002641171     0.0002684690
sigma_w_EulerCAM-26     7.3914230262     93.0320626859     6.8771491929
q1_EulerCAM-26         0.3540680992     0.1345775763     0.1066825297
q2_EulerCAM-26         0.6577515663     0.2028482395     0.2479473491
GP_sigma_EulerCAM-26     1.2972680216     5970.3709534457     1.2970212924
GP_rho_EulerCAM-26     1.7745330829     95.6545738607     1.7535802534
mflux_FTN-26           0.0000203329     0.0001736986     0.0001731269
sigma_w_FTN-26         5.5757665810     50.9754249455     5.0776688045
q1_FTN-26              0.2119800111     0.1244370460     0.0995952744
q2_FTN-26              0.2054650173     0.2148258112     0.1345190756
GP_sigma_FTN-26        1.8839201137     8260.7495993696     1.8836464687
GP_rho_FTN-26          1.1516087424     80.5546326180     1.1362352657
