# Parameter Name         Median           Upper 68 CI      Lower 68 CI 
P_p1                   0.7888389948     0.0000000178     0.0000000173
a_p1                   3.5941490103     0.0675487693     0.0575291379
t0_p1                  2455708.5346235042     0.0000183736     0.0000184886
b_p1                   0.6672060387     0.0058669094     0.0059890557
sesinomega_p1          -0.1296778675     0.1233927824     0.0656606217
secosomega_p1          0.0398932857     0.0500694588     0.0498755922
ecc_p1                 0.0218186148     0.0190037251     0.0153119535
omega_p1               55.5695831375     63.8311707988     41.7552999308
q1_TESS                0.2461394176     0.0728830357     0.0593986295
q2_TESS                0.3850844982     0.2550415612     0.2072350420
p_p1_TESS              0.1463919256     0.0010443803     0.0009855022
rho                    1411.4442204213     81.0854295676     66.6970174247
K_p1                   252.1769438611     4.8724293295     5.0063613145
mu_HIRES-1             69.3977956777     17.4929707406     21.0807503988
sigma_w_HIRES-1        32.2339190586     22.5203074235     11.3625125164
mu_PFS-5               -33.3148450563     8.0818225094     8.0580267676
sigma_w_PFS-5          24.7771673503     9.3707019041     7.5659327793
mu_CORALIE-64          11.0440217011     3.8564696856     3.6904818725
sigma_w_CORALIE-64     1.9569295037     12.7109727786     1.9452726586
mflux_Danish1.5m-ref15     -0.0001719898     0.0002127186     0.0002241479
sigma_w_Danish1.5m-ref15     914.7118623372     39.4651814675     39.1963575754
q1_Danish1.5m-ref15     0.3899481404     0.0826781736     0.0831145168
q2_Danish1.5m-ref15     0.1833633519     0.1845547066     0.1248564326
p_p1_Danish1.5m-ref15     0.1419554940     0.0014305219     0.0013107113
GP_sigma_Danish1.5m-ref15     0.0008734824     0.0001476290     0.0001119305
GP_rho_Danish1.5m-ref15     0.0183220841     0.0058581248     0.0044672927
mflux_SMARTS-ref15     0.0033271355     0.0053101702     0.0052696848
sigma_w_SMARTS-ref15     9949.9563779587     37.6222217859     80.6184089203
q1_SMARTS-ref15        0.5103059527     0.3196286636     0.3282545385
q2_SMARTS-ref15        0.5296486099     0.3115387817     0.3441379319
p_p1_SMARTS-ref15      0.1427713000     0.0133573176     0.0132074534
GP_sigma_SMARTS-ref15     0.0544189843     0.0028956177     0.0028133981
GP_rho_SMARTS-ref15     0.0010038075     0.0000059440     0.0000028251
mflux_EulerCAM-ref33     -0.0000453321     0.0001919803     0.0001986320
sigma_w_EulerCAM-ref33     595.4557301102     60.2791317493     59.5795647838
q1_EulerCAM-ref33      0.3601409588     0.1044167079     0.0861742521
q2_EulerCAM-ref33      0.3735930743     0.2604871093     0.2157949935
p_p1_EulerCAM-ref33     0.1429062078     0.0017080885     0.0016164961
GP_sigma_EulerCAM-ref33     0.0006556715     0.0001283065     0.0000983062
GP_rho_EulerCAM-ref33     0.0128724776     0.0045693214     0.0030948083
mflux_TRAPPIST-ref33     0.0000198560     0.0002507467     0.0002516587
sigma_w_TRAPPIST-ref33     4.2269909896     47.6195976524     3.8833576611
q1_TRAPPIST-ref33      0.2495933161     0.0736491929     0.0650870070
q2_TRAPPIST-ref33      0.1851565995     0.2352066179     0.1349822840
p_p1_TRAPPIST-ref33     0.1414237335     0.0015000082     0.0014194089
GP_sigma_TRAPPIST-ref33     0.0012128210     0.0001402631     0.0001178324
GP_rho_TRAPPIST-ref33     0.0145722488     0.0028774376     0.0022610678
