# Parameter Name         Median           Upper 68 CI      Lower 68 CI 
P_p1                   10.3385380418     0.0000007196     0.0000007228
a_p1                   19.2754882032     1.2645303204     1.4942454519
t0_p1                  2456569.0594260655     0.0001380658     0.0001382991
b_p1                   0.2633899752     0.0577532422     0.0688568421
p_p1                   0.1200912214     0.0009458951     0.0009148940
q1_TESS                0.3055137108     0.1000113249     0.0851732410
q2_TESS                0.4243155967     0.1612183638     0.1181788801
ecc_p1                 0.1035392601     0.0792691860     0.0621971012
rho                    1267.5063701179     266.1793906142     272.5128265680
a_p1                   21.7935380683     0.8955509269     0.8999862120
K_p1                   40.9253220679     3.8895571588     4.0357500799
mu_HIRES-1             -10.6731604043     5.4190296309     5.5227548560
sigma_w_HIRES-1        38.6251188139     4.1553313287     3.5469658686
mu_HARPSN-9            -2.3502362067     2.9848932725     2.9708926942
sigma_w_HARPSN-9       15.0095009274     2.5182756461     2.0168889821
mflux_FLWO-39          0.0004752751     0.0000809492     0.0000838274
sigma_w_FLWO-39        1930.8819240580     47.6222838906     44.8405462130
q1_FLWO-39             0.4552017336     0.1177333002     0.1027206557
q2_FLWO-39             0.3065696916     0.1026334329     0.0817937803
GP_sigma_FLWO-39       1.2351803142     5956.8964213044     1.2349514535
GP_rho_FLWO-39         0.8348318737     66.7667432849     0.8226553616
mflux_Schmidt-39       0.0003976956     0.0001696007     0.0001718723
sigma_w_Schmidt-39     3758.9237158840     118.7010455186     114.6411931812
q1_Schmidt-39          0.5458858117     0.1837646234     0.1754400508
q2_Schmidt-39          0.1388603979     0.1592683496     0.0894409033
GP_sigma_Schmidt-39     0.7050455256     5755.0320949023     0.7049209409
GP_rho_Schmidt-39      1.2641966392     86.3269679575     1.2490482108
mflux_WISE-39          0.0004499200     0.0001117639     0.0001126014
sigma_w_WISE-39        3076.7781944736     77.3126167619     76.0100706543
q1_WISE-39             0.6936522603     0.1601041105     0.1603661275
q2_WISE-39             0.2288069796     0.1225036228     0.0971121386
GP_sigma_WISE-39       0.3324221645     2896.0642041247     0.3323309111
GP_rho_WISE-39         0.6681890027     56.3061350511     0.6568094337
