# Parameter Name         Median           Upper 68 CI      Lower 68 CI 
P_p1                   2.2185752082     0.0000000182     0.0000000183
a_p1                   8.1818820951     0.0464375938     0.0766087628
t0_p1                  2453955.5248856777     0.0000041137     0.0000060424
b_p1                   0.6644921351     0.0022407476     0.0013032997
p_p1                   0.1569415671     0.0002660383     0.0002229601
q1_TESS                0.2446376841     0.0154179095     0.0105530678
q2_TESS                0.5416422611     0.0203083037     0.0404983865
ecc_p1                 0.0939122124     0.0086839377     0.0061633657
rho                    2105.0556578214     36.0465829146     58.5783759896
mflux_TESS             0.0001076304     0.0000169294     0.0000173801
sigma_w_TESS           999.0849993795     0.1746078269     0.1022840825
GP_rho_TESS            0.0003100530     0.0002694154     0.0001855823
GP_sigma_TESS          2.1446946819     0.4804758445     0.5298330332
a_p1                   9.0105288636     0.0591563999     0.0917903208
K_p1                   202.1939474373     2.1885663691     1.5040980099
mu_CHIRON-60           21.8145710220     3.3649362712     4.8600716524
sigma_w_CHIRON-60      22.0361136829     0.6922057827     1.7678797486
mu_SOPHIE-61           1.2473282730     4.5863915180     2.8719531962
sigma_w_SOPHIE-61      31.8417608994     2.2427623803     1.6191981367
mflux_ACS-62           -0.0000054614     0.0000113353     0.0000078552
sigma_w_ACS-62         151.1718989999     6.5136891140     3.8755181940
q1_ACS-62              0.2842595559     0.0176654253     0.0121554652
q2_ACS-62              0.5385917944     0.0315766717     0.0457165051
GP_sigma_ACS-62        31.2455257434     58.9779764812     12.2973277164
GP_rho_ACS-62          0.3320751704     0.1544942883     0.0748879284
mflux_APT-63           0.0004172639     0.0000908100     0.0000495152
sigma_w_APT-63         4.4479578276     2.5111274932     2.0066158870
q1_APT-63              0.4459154415     0.0367817469     0.0296503187
q2_APT-63              0.5345361682     0.0293686142     0.0295121713
GP_sigma_APT-63        0.0034285848     0.0059703234     0.0018993893
GP_rho_APT-63          0.6873865647     0.9734216564     0.2319622987
mflux_FLWO-63          0.0001208497     0.0000167862     0.0000221873
sigma_w_FLWO-63        4.0468497984     2.7237649093     0.4759409597
q1_FLWO-63             0.2136536128     0.0094563510     0.0064777195
q2_FLWO-63             0.4609359856     0.0131758211     0.0176714914
GP_sigma_FLWO-63       15.3622731649     4.7223602595     9.7019606837
GP_rho_FLWO-63         1.0527597494     0.9920075684     0.6572517104
mflux_MAGNUM-63        0.0004357961     0.0001810035     0.0000987879
sigma_w_MAGNUM-63      127.3361111004     72.7774839817     40.7348802068
q1_MAGNUM-63           0.5392268569     0.0171165005     0.0217438338
q2_MAGNUM-63           0.5695892847     0.0564867685     0.0291311179
GP_sigma_MAGNUM-63     0.0044768517     0.0026673046     0.0018719793
GP_rho_MAGNUM-63       9.5545014137     3.5785108000     4.7141979779
mflux_Wise-63          -0.0002627053     0.0000693094     0.0000920248
sigma_w_Wise-63        11.4020617182     1.9992033938     1.8165581211
q1_Wise-63             0.3368257599     0.0115590400     0.0164576746
q2_Wise-63             0.4764396645     0.0322585637     0.0614789912
GP_sigma_Wise-63       23.6560330641     80.0954479762     12.9597120127
GP_rho_Wise-63         67.0334041676     74.8413978624     40.2091874218
