# Parameter Name         Median           Upper 68 CI      Lower 68 CI 
P_p1                   5.5080301350     0.0000004122     0.0000004217
t0_p1                  2457276.2562961723     0.0000879499     0.0000893809
b_p1                   0.3497074464     0.0363099151     0.0399517223
sesinomega_p1          0.0852755353     0.1397048788     0.1576082176
secosomega_p1          0.1910247217     0.0907754389     0.1352325278
ecc_p1                 0.0664849531     0.0379583041     0.0404427603
omega_p1               39.6041721502     34.5258397161     25.9689661152
q1_TESS                0.4265124071     0.1712125118     0.1271023807
q2_TESS                0.3126680892     0.1676817740     0.1387405402
p_p1_TESS              0.1346920570     0.0012500764     0.0013340283
a_p1                   16.5643682994     0.5818505721     0.6741836624
K_p1                   27.1604175418     2.1793191996     2.2137368988
mu_HIRES-1             -6.4583988778     2.8568782592     2.8484106283
sigma_w_HIRES-1        17.0167471700     2.4154951776     1.9518475726
mu_HARPSN-9            -1.1749986587     1.4064492738     1.4970748660
sigma_w_HARPSN-9       0.0716915022     0.8025772372     0.0676064977
mflux_FLWO-ref41       -0.0000047572     0.0002312353     0.0002490116
sigma_w_FLWO-ref41     880.4975842551     76.1670874838     71.9288190504
q1_FLWO-ref41          0.2843059331     0.1162974437     0.0795179751
q2_FLWO-ref41          0.6260062710     0.2020233076     0.1924157550
p_p1_FLWO-ref41        0.1391244654     0.0014375217     0.0015579017
GP_sigma_FLWO-ref41     0.0005252321     0.0002060277     0.0001538624
GP_rho_FLWO-ref41      0.0204059392     0.0178340816     0.0083671849
