#SMARTS
WASP-18 2455133.524035 0.99315 0.00220
WASP-18 2455133.524285 1.00273 0.00218
WASP-18 2455133.524545 1.00396 0.00221
WASP-18 2455133.524795 0.99001 0.00217
WASP-18 2455133.525035 0.99433 0.00216
WASP-18 2455133.525285 1.00276 0.00221
WASP-18 2455133.525565 1.00509 0.00221
WASP-18 2455133.525805 0.99968 0.00218
WASP-18 2455133.526055 0.99481 0.00217
WASP-18 2455133.526465 1.00871 0.00403
WASP-18 2455133.526685 0.99017 0.00393
WASP-18 2455133.526915 0.99265 0.00400
WASP-18 2455133.527145 0.99203 0.00405
WASP-18 2455133.527375 1.00205 0.00410
WASP-18 2455133.527725 1.00237 0.00272
WASP-18 2455133.528295 1.01069 0.00410
WASP-18 2455133.528525 1.01297 0.00416
WASP-18 2455133.528745 1.00440 0.00411
WASP-18 2455133.528975 0.98919 0.00400
WASP-18 2455133.529205 0.99517 0.00403
WASP-18 2455133.529675 0.98801 0.00400
WASP-18 2455133.529895 0.99677 0.00396
WASP-18 2455133.530115 1.00202 0.00405
WASP-18 2455133.530345 0.99944 0.00400
WASP-18 2455133.530575 1.01454 0.00407
WASP-18 2455133.530805 1.00578 0.00396
WASP-18 2455133.531035 0.99796 0.00397
WASP-18 2455133.531265 0.99832 0.00394
WASP-18 2455133.531495 0.98901 0.00387
WASP-18 2455133.531715 0.98661 0.00391
WASP-18 2455133.532075 0.99636 0.00392
WASP-18 2455133.532295 0.99659 0.00399
WASP-18 2455133.532525 0.99071 0.00389
WASP-18 2455133.532745 0.99549 0.00403
WASP-18 2455133.532975 1.00774 0.00398
WASP-18 2455133.533205 1.00645 0.00393
WASP-18 2455133.533435 0.98635 0.00389
WASP-18 2455133.533665 0.99433 0.00399
WASP-18 2455133.533895 0.99167 0.00401
WASP-18 2455133.534125 1.00318 0.00411
WASP-18 2455133.534415 1.00596 0.00401
WASP-18 2455133.534645 1.00731 0.00402
WASP-18 2455133.534865 1.00663 0.00413
WASP-18 2455133.535095 0.99624 0.00393
WASP-18 2455133.535325 0.99559 0.00393
WASP-18 2455133.535555 0.99071 0.00390
WASP-18 2455133.535785 0.99389 0.00391
WASP-18 2455133.536015 0.98723 0.00393
WASP-18 2455133.536245 1.01369 0.00403
WASP-18 2455133.536465 0.99325 0.00392
WASP-18 2455133.536775 1.01002 0.00399
WASP-18 2455133.536995 1.01130 0.00402
WASP-18 2455133.537224 0.99492 0.00396
WASP-18 2455133.537454 1.01565 0.00405
WASP-18 2455133.537684 1.00357 0.00395
WASP-18 2455133.537914 1.00472 0.00396
WASP-18 2455133.538144 0.99258 0.00392
WASP-18 2455133.538374 0.99349 0.00393
WASP-18 2455133.538594 1.00506 0.00403
WASP-18 2455133.538824 0.99707 0.00398
WASP-18 2455133.539124 0.99232 0.00396
WASP-18 2455133.539354 1.01151 0.00400
WASP-18 2455133.539584 0.99502 0.00392
WASP-18 2455133.539814 1.00429 0.00394
WASP-18 2455133.540034 1.00391 0.00399
WASP-18 2455133.540264 0.98199 0.00391
WASP-18 2455133.540494 1.00398 0.00400
WASP-18 2455133.540724 1.00414 0.00402
WASP-18 2455133.540954 0.98589 0.00388
WASP-18 2455133.541184 1.00782 0.00400
WASP-18 2455133.541494 1.00924 0.00401
WASP-18 2455133.541714 1.00500 0.00400
WASP-18 2455133.541944 1.00400 0.00395
WASP-18 2455133.542174 0.99980 0.00399
WASP-18 2455133.542404 1.00213 0.00397
WASP-18 2455133.542634 1.00541 0.00399
WASP-18 2455133.542864 0.99935 0.00400
WASP-18 2455133.543084 1.00288 0.00397
WASP-18 2455133.543314 0.98798 0.00397
WASP-18 2455133.543544 0.99413 0.00393
WASP-18 2455133.543774 0.99130 0.00393
WASP-18 2455133.544004 0.99773 0.00398
WASP-18 2455133.544234 0.98628 0.00388
WASP-18 2455133.544454 0.99949 0.00394
WASP-18 2455133.544684 0.99355 0.00392
WASP-18 2455133.544914 0.99855 0.00396
WASP-18 2455133.545144 1.00507 0.00401
WASP-18 2455133.545374 0.99643 0.00392
WASP-18 2455133.545604 0.99253 0.00394
WASP-18 2455133.545834 1.00464 0.00402
WASP-18 2455133.546134 0.99180 0.00396
WASP-18 2455133.546354 1.00341 0.00398
WASP-18 2455133.546584 1.00676 0.00400
WASP-18 2455133.546814 0.99979 0.00392
WASP-18 2455133.547034 0.99620 0.00395
WASP-18 2455133.547264 0.99651 0.00391
WASP-18 2455133.547494 0.99766 0.00394
WASP-18 2455133.547724 0.99448 0.00394
WASP-18 2455133.547954 1.01114 0.00398
WASP-18 2455133.548184 0.99836 0.00397
WASP-18 2455133.548404 1.01129 0.00402
WASP-18 2455133.548634 0.99780 0.00395
WASP-18 2455133.548864 1.00751 0.00400
WASP-18 2455133.549094 1.01551 0.00399
WASP-18 2455133.549324 0.99385 0.00391
WASP-18 2455133.549554 1.00596 0.00400
WASP-18 2455133.549774 1.00138 0.00393
WASP-18 2455133.550004 0.99264 0.00392
WASP-18 2455133.550234 0.99880 0.00393
WASP-18 2455133.550464 1.01042 0.00401
WASP-18 2455133.550784 1.00805 0.00400
WASP-18 2455133.551004 1.00886 0.00398
WASP-18 2455133.551224 0.99745 0.00392
WASP-18 2455133.551454 0.99562 0.00391
WASP-18 2455133.551684 1.00102 0.00396
WASP-18 2455133.551914 0.99197 0.00388
WASP-18 2455133.552144 0.99850 0.00392
WASP-18 2455133.552364 1.00092 0.00395
WASP-18 2455133.552594 1.00063 0.00398
WASP-18 2455133.552824 1.00091 0.03306
WASP-18 2455133.553134 0.98345 0.00391
