2454746.564605  11.54738  0.00576   0.00133
2454746.750752  11.54840  0.00555  -0.01787
2454747.504842  11.51620  0.00559  -0.02660
2454747.579780  11.50597  0.00711  -0.03234
2454747.586192  11.51299  0.00677   0.00139
2454747.592603  11.49959  0.00665  -0.00608
2454747.598784  11.50313  0.00781  -0.01701
2454747.605195  11.50141  0.00819  -0.07376
2454747.611549  11.48940  0.00885  -0.06980
2454747.617718  11.49653  0.00811  -0.03563
2454747.624372  11.48137  0.00808  -0.00962
2454747.630668  11.50486  0.00716  -0.02661
2454747.636837  11.51929  0.00812   0.02936
2454747.643307  11.49737  0.00808  -0.01246
2454747.650089  11.52399  0.00766  -0.00152
2454747.655956  11.50607  0.00612  -0.01990
2454747.662310  11.50622  0.00648  -0.00217
2454747.668664  11.49528  0.00706  -0.05534
2454747.675076  11.48567  0.00634  -0.01449
2454747.681372  11.49207  0.00624   0.02179
2454747.687841  11.46478  0.00616  -0.03649
2454747.694137  11.45835  0.00571  -0.05455
2454747.700491  11.47240  0.00618  -0.01938
2454747.706729  11.46878  0.00655  -0.00382
2454747.713256  11.45266  0.00619   0.02667
2454747.719494  11.46519  0.00625  -0.03618
2454747.725906  11.46526  0.00591   0.00022
2454747.732260  11.48427  0.00603   0.00930
2454747.738672  11.46037  0.00689   0.01768
2454747.744968  11.46863  0.00668   0.00392
2454747.751264  11.45986  0.00685  -0.02154
2454747.757617  11.46432  0.00734   0.01274
2454747.764029  11.47662  0.00759  -0.04832
2454747.770383  11.46143  0.00783  -0.07680
2454747.776621  11.49690  0.00818   0.03016
2454747.783206  11.46028  0.00886  -0.03313
2454747.789329  11.47787  0.00875  -0.02263
2454747.795798  11.45389  0.00916   0.01502
2454748.775349  11.42689  0.00406  -0.02922
2454749.703663  11.53125  0.00270  -0.02405
2454750.655365  11.53933  0.00240  -0.02941
2454753.741910  11.54705  0.00414  -0.01725
2454754.750340  11.43295  0.00299  -0.02203
2454755.730495  11.43908  0.00261  -0.02337
