2454359.687716  11.48815  0.01636   0.01618
2454362.573582  11.43618  0.01602  -0.05289
2454364.628975  11.44037  0.02006  -0.02655
2454365.707645  11.42032  0.01334  -0.03610
2454372.735312  11.42022  0.01288  -0.06013
2454377.716124  11.48411  0.01452  -0.04330
2454377.739618  11.48861  0.01393  -0.04916
2454378.693586  11.38638  0.01271  -0.03449
2454378.719349  11.38469  0.01306   0.01096
2454379.690005  11.45960  0.01414  -0.03955
2454379.713452  11.46897  0.01333  -0.04065
2454380.563292  11.53322  0.01202  -0.01290
2454380.586751  11.51439  0.01142  -0.02735
2454382.617808  11.39778  0.01422  -0.00658
2454383.601838  11.50697  0.01225  -0.03398
2454383.625413  11.49114  0.01253  -0.04571
2454385.740623  11.36965  0.02555  -0.10750
2454386.638647  11.46303  0.01407  -0.01829
2454386.664860  11.49377  0.01384  -0.02509
2454387.668883  11.48742  0.02578  -0.06456
2454387.690688  11.49402  0.03290   0.04418
2454390.521372  11.52130  0.01273  -0.08028
2454390.544901  11.51282  0.01314  -0.03094
2454398.647981  11.36002  0.01361  -0.02246
2454398.671428  11.38428  0.01373  -0.02346
2454399.616495  11.41113  0.01204  -0.05097
2454399.652117  11.42110  0.01225  -0.05205
2454720.614742  11.50358  0.01721  -0.05665
2454722.651535  11.45913  0.01483  -0.04094
2454724.579899  11.40131  0.01616  -0.00673
2454725.545387  11.43430  0.01835  -0.06935
2454726.613463  11.52363  0.01670  -0.01711
2454730.622609  11.47459  0.01459  -0.00302
2454732.703073  11.47021  0.01808  -0.03689
2454734.747409  11.41662  0.01649   0.00588
