HAT-P-14    6821.6773089    -20.21916  0.00860
HAT-P-14    7113.6100500    -20.14767  0.00556
HAT-P-14    7116.5880007    -20.50877  0.00391
HAT-P-16    6161.6896230    -16.30486  0.00427
HAT-P-16    6174.6430421    -17.04225  0.00266
HAT-P-16    6528.6530336    -15.99047  0.00266
HAT-P-16    6565.7271963    -16.80193  0.00241
HAT-P-16    6607.5054253    -16.93499  0.00280
HAT-P-16    6622.4199210    -16.39648  0.00264
HAT-P-16    6653.4733104    -15.99938  0.00304
HAT-P-16    6698.3350811    -16.12799  0.00609
HAT-P-16    7209.6987298    -16.73720  0.00378
HAT-P-16    7272.7617448    -16.02250  0.00413
HAT-P-17    6225.4748217     20.33903  0.00553
HAT-P-17    6226.4517424     20.33264  0.00390
HAT-P-17    6266.3132594     20.34798  0.00131
HAT-P-17    6424.6961447     20.28364  0.00184
HAT-P-17    6485.7131679     20.31517  0.00141
HAT-P-17    6546.5926365     20.33626  0.00134
HAT-P-17    6579.3203259     20.30401  0.00129
HAT-P-17    6579.4828179     20.29662  0.00132
HAT-P-17    6579.4935118     20.29710  0.00131
HAT-P-17    6579.5044371     20.29765  0.00130
HAT-P-17    6579.5149922     20.29551  0.00134
HAT-P-17    6579.5259291     20.29457  0.00134
HAT-P-17    6579.5364147     20.29413  0.00132
HAT-P-17    6579.5471665     20.29375  0.00135
HAT-P-17    6579.5589715     20.29614  0.00156
HAT-P-17    6608.4561226     20.34484  0.00137
HAT-P-17    6617.3699683     20.35551  0.00150
HAT-P-17    6623.4150390     20.26780  0.00240
HAT-P-17    6821.6931219     20.34801  0.00258
HAT-P-17    6860.6523227     20.24992  0.00104
HAT-P-17    6974.4057440     20.24785  0.00163
HAT-P-17    7005.3116685     20.25039  0.00591
HAT-P-17    7178.6605453     20.31411  0.00174
HAT-P-17    7272.6647342     20.27246  0.00161
HAT-P-17    7353.4052233     20.32469  0.00286
HAT-P-18    6455.4509387    -11.09465  0.00512
HAT-P-18    6455.4616446    -11.09978  0.00477
HAT-P-18    6455.4723621    -11.09462  0.00634
HAT-P-18    6455.4830912    -11.09355  0.00691
HAT-P-18    6455.4938086    -11.09540  0.00589
HAT-P-18    6455.6224300    -11.10240  0.00510
HAT-P-18    6455.6331590    -11.09585  0.00736
HAT-P-18    6455.6438765    -11.12288  0.00825
HAT-P-18    6455.6560638    -11.10904  0.00709
HAT-P-18    6506.4656440    -11.13127  0.00696
HAT-P-18    6536.4895913    -11.07358  0.00626
HAT-P-18    6543.3744274    -11.09505  0.00458
HAT-P-18    6859.5740457    -11.13893  0.01389
HAT-P-18    6860.5113906    -11.10837  0.00477
HAT-P-18    7142.6298907    -11.07530  0.00603
HAT-P-18    7143.5902652    -11.09121  0.00586
HAT-P-18    7144.7286531    -11.12251  0.00453
HAT-P-20    6252.7426355    -17.81127  0.00338
HAT-P-20    6305.6459810    -17.61767  0.00305
HAT-P-20    6323.6742419    -19.27755  0.00823
HAT-P-20    6569.7270066    -16.85292  0.00308
HAT-P-20    6581.7516133    -17.80612  0.00263
HAT-P-20    6606.7575804    -16.97723  0.00387
HAT-P-20    6608.7685888    -19.07089  0.00255
HAT-P-20    6608.7779878    -19.05996  0.00451
HAT-P-20    6609.7800413    -16.85321  0.00562
HAT-P-20    6621.7458747    -17.18187  0.00302
HAT-P-20    6622.7226119    -19.30900  0.00352
HAT-P-20    6631.6269025    -19.26363  0.00238
HAT-P-20    6719.4812342    -17.16702  0.00631
HAT-P-20    6723.5440673    -19.28865  0.00358
HAT-P-20    6728.4099865    -17.89041  0.00459
HAT-P-20    6728.4172544    -17.90546  0.00462
HAT-P-20    6728.4245802    -17.93041  0.00463
HAT-P-20    6728.4317439    -17.94452  0.00461
HAT-P-20    6728.5260181    -18.19649  0.00569
HAT-P-20    6728.5329157    -18.22397  0.00543
HAT-P-20    6728.5474399    -18.25926  0.00759
HAT-P-20    6728.5547309    -18.28366  0.00710
HAT-P-20    6728.5617905    -18.30477  0.00797
HAT-P-20    6728.5690121    -18.33650  0.00916
HAT-P-20    6976.6867347    -19.21385  0.00219
HAT-P-20    7005.7164522    -18.73836  0.00426
HAT-P-20    7011.7021440    -18.16570  0.00368
HAT-P-21    6295.7576795    -52.98326  0.00379
HAT-P-21    6298.7081919    -52.38815  0.00360
HAT-P-21    6299.6288507    -52.84103  0.00317
HAT-P-21    6322.7791254    -52.93420  0.00343
HAT-P-21    6323.6180076    -52.44943  0.01298
HAT-P-21    6324.7714937    -53.08494  0.01344
HAT-P-21    6344.6036196    -52.59443  0.00321
HAT-P-21    6620.7758877    -52.50483  0.00366
