55974.61462 -23.7388 0.0065  0.0811
55976.57143 -23.5694 0.0062  0.0972
55979.55186 -23.6661 0.0063  0.0798
55981.54352 -23.4891 0.0062  0.0820
55982.53631 -23.7268 0.0056  0.0913
55983.53088 -23.6192 0.0053  0.0664
55992.51846 -23.5177 0.0052  0.0825
55994.50952 -23.5795 0.0059  0.1206
55996.50877 -23.7477 0.0056  0.0974
55997.52351 -23.4983 0.0066  0.0894
55999.53457 -23.6654 0.0058  0.0991
56000.50857 -23.5030 0.0061  0.0578
56002.50493 -23.5973 0.0059  0.0790
56004.50833 -23.7495 0.0068  0.0880
56225.77254 -23.6525 0.0060  0.0720
56354.53934 -23.5082 0.0072  0.1035
56355.54337 -23.6129 0.0085  0.0937
56364.50632 -23.7652 0.0080  0.0962
56365.50555 -23.5143 0.0079  0.1038
56366.50386 -23.6962 0.0072  0.0961
55924.30590 -23.5070 0.0116  0.0377
55925.44261 -23.6651 0.0119  0.0122
55926.32456 -23.7267 0.0114  0.0451
55929.41641 -23.6291 0.0126  0.0787
55930.40736 -23.5492 0.0117  0.0650
55936.52005 -23.7408 0.0193  0.1027
55938.34462 -23.5051 0.0105  0.0801
55977.27640 -23.7591 0.0113  0.1159
