# from https://academic.oup.com/mnras/article/472/4/3871/4098503
#Title: Investigating the physical properties of transiting hot Jupiters with the 1.5-m Kuiper Telescope
#Authors: Turner J.D. et al. 2017 
#Table: Table 2. Photometry of all our light curves
#================================================================================
#Byte-by-byte Description of file: datafile.txt
#--------------------------------------------------------------------------------
#   Bytes Format Units Label  Explanations
#--------------------------------------------------------------------------------
#   1- 10 A10            Planet Name
#  12- 22 A11            Filter
#  24- 39 F16.7  HJD     Time (HJD_UTC) 
#  41- 49 F9.6   Flux    Normalized Flux
#  51- 59 F9.6   Flux    Flux Error 
#  61- 70 F10.4  Pixel   X-Pixel of Target
#  72- 80 F9.4   Pixel   Y-Pixel of Target
#  82- 88 F7.4           Airmass
#--------------------------------------------------------------------------------
#Note (1):   Light curves from the 1.5meter Kuiper Telescope
#Note (2):   The light curves were created using ExoDRP (Pearson et al. 2014).
#--------------------------------------------------------------------------------
CoRoT-12b   Harris R    2456338.6182630  1.001700  0.004240   528.5770  634.5380  1.3286 
CoRoT-12b   Harris R    2456338.6189620  0.998820  0.004080   528.8320  634.7130  1.3259 
CoRoT-12b   Harris R    2456338.6196610  0.993490  0.004220   529.3330  634.4560  1.3231 
CoRoT-12b   Harris R    2456338.6203590  0.995390  0.004050   529.4300  634.2790  1.3205 
CoRoT-12b   Harris R    2456338.6210570  0.995740  0.003850   529.2970  634.2810  1.3178 
CoRoT-12b   Harris R    2456338.6217560  0.988530  0.003710   529.0290  634.5490  1.3152 
CoRoT-12b   Harris R    2456338.6224550  0.987640  0.003320   528.9050  634.3130  1.3127 
CoRoT-12b   Harris R    2456338.6231530  0.985750  0.003330   528.8470  634.1750  1.3101 
CoRoT-12b   Harris R    2456338.6238520  0.989400  0.003350   528.9040  633.6430  1.3076 
CoRoT-12b   Harris R    2456338.6245500  0.993670  0.003460   528.8240  634.4490  1.3052 
CoRoT-12b   Harris R    2456338.6252490  0.990510  0.003550   529.6360  634.1310  1.3027 
CoRoT-12b   Harris R    2456338.6259470  0.984630  0.003580   529.2600  634.3460  1.3003 
CoRoT-12b   Harris R    2456338.6266460  0.988070  0.003460   529.0850  633.9720  1.2980 
CoRoT-12b   Harris R    2456338.6273450  0.986370  0.003280   529.8980  633.9130  1.2956 
CoRoT-12b   Harris R    2456338.6280430  0.992850  0.003280   529.2960  633.7670  1.2934 
CoRoT-12b   Harris R    2456338.6287420  0.988770  0.003390   529.2750  634.6300  1.2911 
CoRoT-12b   Harris R    2456338.6294410  0.985990  0.003480   529.2420  635.0970  1.2889 
CoRoT-12b   Harris R    2456338.6301390  0.987390  0.003370   529.6370  634.2360  1.2867 
CoRoT-12b   Harris R    2456338.6308380  0.989010  0.003390   529.0960  634.2280  1.2845 
CoRoT-12b   Harris R    2456338.6315360  0.985780  0.003410   529.7960  633.4440  1.2824 
CoRoT-12b   Harris R    2456338.6322350  0.986210  0.003570   528.8270  633.4780  1.2803 
CoRoT-12b   Harris R    2456338.6329340  0.991920  0.003630   529.2960  634.6400  1.2782 
CoRoT-12b   Harris R    2456338.6336320  0.981250  0.003450   529.4930  634.1540  1.2762 
CoRoT-12b   Harris R    2456338.6343310  0.980420  0.003660   529.6700  634.4580  1.2742 
CoRoT-12b   Harris R    2456338.6350290  0.984860  0.004090   529.3070  633.8630  1.2722 
CoRoT-12b   Harris R    2456338.6357270  0.986400  0.004340   529.8140  633.7180  1.2703 
CoRoT-12b   Harris R    2456338.6364260  0.975030  0.003470   529.2110  633.2700  1.2684 
CoRoT-12b   Harris R    2456338.6371250  0.978080  0.003570   528.5190  633.8320  1.2665 
CoRoT-12b   Harris R    2456338.6378230  0.983220  0.003590   529.5430  634.0410  1.2647 
CoRoT-12b   Harris R    2456338.6385220  0.976110  0.003670   530.1010  634.7820  1.2628 
CoRoT-12b   Harris R    2456338.6392200  0.982490  0.003820   529.8540  634.2940  1.2610 
CoRoT-12b   Harris R    2456338.6399190  0.974850  0.003630   529.5390  633.5450  1.2593 
CoRoT-12b   Harris R    2456338.6406170  0.965980  0.003630   529.9320  633.3390  1.2576 
CoRoT-12b   Harris R    2456338.6413160  0.978610  0.004420   529.6280  633.5950  1.2559 
CoRoT-12b   Harris R    2456338.6420150  0.977640  0.004300   529.4220  633.9410  1.2542 
CoRoT-12b   Harris R    2456338.6427130  0.975840  0.004350   529.9250  634.2050  1.2526 
CoRoT-12b   Harris R    2456338.6434120  0.976440  0.003880   529.6280  634.4020  1.2509 
CoRoT-12b   Harris R    2456338.6441100  0.973370  0.003620   530.2180  634.2950  1.2494 
CoRoT-12b   Harris R    2456338.6448080  0.969120  0.003590   529.6690  633.5850  1.2478 
CoRoT-12b   Harris R    2456338.6455070  0.976770  0.003650   529.7510  633.0770  1.2463 
CoRoT-12b   Harris R    2456338.6462060  0.984740  0.003690   530.0650  633.9530  1.2448 
CoRoT-12b   Harris R    2456338.6469050  0.977150  0.003580   530.2840  633.7420  1.2433 
CoRoT-12b   Harris R    2456338.6476030  0.975130  0.003460   529.7490  633.5140  1.2419 
CoRoT-12b   Harris R    2456338.6483020  0.971230  0.003500   530.1550  633.9240  1.2405 
CoRoT-12b   Harris R    2456338.6490000  0.977510  0.003530   530.0760  633.9180  1.2391 
CoRoT-12b   Harris R    2456338.6496990  0.975780  0.003650   529.9920  633.5820  1.2377 
CoRoT-12b   Harris R    2456338.6503970  0.984500  0.003620   529.7670  633.4930  1.2364 
CoRoT-12b   Harris R    2456338.6510960  0.974820  0.003750   529.7710  634.1950  1.2351 
CoRoT-12b   Harris R    2456338.6517950  0.969590  0.003900   529.2360  634.4170  1.2338 
CoRoT-12b   Harris R    2456338.6524930  0.982630  0.004060   530.3910  633.9440  1.2325 
CoRoT-12b   Harris R    2456338.6531920  0.975780  0.003860   529.5490  633.6410  1.2313 
CoRoT-12b   Harris R    2456338.6538900  0.977280  0.003830   530.5520  633.2460  1.2301 
CoRoT-12b   Harris R    2456338.6545890  0.978800  0.003580   530.2360  633.7230  1.2289 
CoRoT-12b   Harris R    2456338.6552870  0.976860  0.003650   530.2190  633.3770  1.2278 
CoRoT-12b   Harris R    2456338.6559860  0.971560  0.003790   529.3000  634.0750  1.2267 
CoRoT-12b   Harris R    2456338.6566840  0.974960  0.003590   530.2560  633.4300  1.2256 
CoRoT-12b   Harris R    2456338.6573830  0.970350  0.003640   530.2740  633.8380  1.2245 
CoRoT-12b   Harris R    2456338.6580810  0.972130  0.003370   530.4260  633.6580  1.2235 
CoRoT-12b   Harris R    2456338.6587800  0.970110  0.003610   530.2680  633.9290  1.2225 
CoRoT-12b   Harris R    2456338.6594780  0.971850  0.003480   530.1850  633.4250  1.2215 
CoRoT-12b   Harris R    2456338.6601770  0.972550  0.003480   530.3630  633.5660  1.2205 
CoRoT-12b   Harris R    2456338.6608750  0.966690  0.003370   530.2340  633.2900  1.2196 
CoRoT-12b   Harris R    2456338.6615740  0.975080  0.003250   530.2630  633.7070  1.2187 
CoRoT-12b   Harris R    2456338.6622720  0.967600  0.003190   529.8500  633.9460  1.2178 
CoRoT-12b   Harris R    2456338.6629700  0.975330  0.003210   530.6980  633.7270  1.2169 
CoRoT-12b   Harris R    2456338.6636690  0.970860  0.003120   530.5920  633.0510  1.2161 
CoRoT-12b   Harris R    2456338.6643680  0.971360  0.003190   529.9290  633.2800  1.2152 
CoRoT-12b   Harris R    2456338.6650660  0.971780  0.003190   530.2300  633.5910  1.2145 
CoRoT-12b   Harris R    2456338.6657650  0.971730  0.003210   530.3830  633.5790  1.2137 
CoRoT-12b   Harris R    2456338.6664630  0.971060  0.003280   530.3200  633.8430  1.2130 
CoRoT-12b   Harris R    2456338.6671620  0.973740  0.003280   530.6970  633.8420  1.2122 
CoRoT-12b   Harris R    2456338.6678610  0.972880  0.003250   530.5730  633.3100  1.2116 
CoRoT-12b   Harris R    2456338.6685590  0.969730  0.003230   530.8120  633.0600  1.2109 
CoRoT-12b   Harris R    2456338.6692570  0.968120  0.003200   530.3910  633.3080  1.2102 
CoRoT-12b   Harris R    2456338.6699560  0.969410  0.003320   531.0670  633.6560  1.2096 
CoRoT-12b   Harris R    2456338.6706540  0.971770  0.003550   530.1080  633.4970  1.2090 
CoRoT-12b   Harris R    2456338.6713530  0.975430  0.003800   530.3690  633.2650  1.2085 
CoRoT-12b   Harris R    2456338.6720510  0.967870  0.003440   530.1940  633.6940  1.2079 
CoRoT-12b   Harris R    2456338.6727500  0.975600  0.003350   530.7030  633.4660  1.2074 
