# Parameter Name         Median           Upper 68 CI      Lower 68 CI 
P_p1                   3.5857068286     0.0000009644     0.0000009407
a_p1                   8.0950123860     0.1624284454     0.1459670557
t0_p1                  2459226.8878801996     0.0001221420     0.0001223399
b_p1                   0.7433700962     0.0103697057     0.0107407236
p_p1                   0.1070246731     0.0008990172     0.0005958012
q1_TESS                0.2143392083     0.0630042002     0.0553078966
q2_TESS                0.1766674410     0.2498257876     0.1188776469
ecc_p1                 0.0315317268     0.0227010759     0.0189527524
rho                    780.4681599988     47.9302148183     41.4629944207
K_p1                   53.8452576153     4.4578260144     4.5325913525
mu_CORALIE-27          -8.9080978460     3.5511295033     3.5552693078
sigma_w_CORALIE-27     0.3103507225     5.1519116352     0.3011935292
