# from https://www.aanda.org/articles/aa/full_html/2011/07/aa16208-10/aa16208-10.html
# Note: deleted the WASP survey photometry, only kept follow-up
2455254.03857 0.993374  0.001921 FTN       
2455254.03956 0.994584  0.001924 FTN       
2455254.04054 0.993890  0.001922 FTN       
2455254.04151 0.994267  0.001914 FTN       
2455254.04251 0.996212  0.001927 FTN       
2455254.04349 0.997563  0.001966 FTN       
2455254.04446 0.996802  0.001937 FTN       
2455254.04545 0.998430  0.001950 FTN       
2455254.04644 0.999039  0.001942 FTN       
2455254.04743 0.998921  0.001960 FTN       
2455254.04841 1.000506  0.001954 FTN       
2455254.04940 0.998722  0.001950 FTN       
2455254.05039 0.997785  0.001976 FTN       
2455254.05136 0.999212  0.001951 FTN       
2455254.05236 1.001093  0.001973 FTN       
2455254.05334 1.002682  0.001967 FTN       
2455254.05434 0.999603  0.001970 FTN       
2455254.05531 0.998906  0.001950 FTN       
2455254.05631 0.998263  0.001968 FTN       
2455254.05728 0.999977  0.001971 FTN       
2455254.05828 0.999665  0.001970 FTN       
2455254.05926 0.999584  0.001989 FTN       
2455254.06025 1.000737  0.001982 FTN       
2455254.06122 1.000370  0.001981 FTN       
2455254.06223 1.001616  0.001983 FTN       
2455254.06320 0.999387  0.001988 FTN       
2455254.06420 0.998542  0.001977 FTN       
2455254.06517 0.997891  0.001985 FTN       
2455254.06618 1.001871  0.001993 FTN       
2455254.06715 1.000241  0.001981 FTN       
2455254.06815 0.999644  0.001989 FTN       
2455254.06912 1.000170  0.001981 FTN       
2455254.07011 0.998294  0.001986 FTN       
2455254.07110 1.000367  0.001999 FTN       
2455254.07208 0.999981  0.001999 FTN       
2455254.07307 1.000757  0.002000 FTN       
2455254.07406 1.001671  0.001993 FTN       
2455254.07504 1.002291  0.002012 FTN       
2455254.07603 0.997734  0.002022 FTN       
2455254.07701 0.997000  0.001993 FTN       
2455254.07801 1.000249  0.002008 FTN       
2455254.07898 0.999237  0.002006 FTN       
2455254.07994 0.998071  0.002013 FTN       
2455254.08092 0.999517  0.002007 FTN       
2455254.08192 0.999694  0.002026 FTN       
2455254.08290 1.000128  0.001999 FTN       
2455254.08389 1.001355  0.002020 FTN       
2455254.08487 0.999238  0.002034 FTN       
2455254.08586 1.000372  0.002064 FTN       
2455254.08685 0.999913  0.002035 FTN       
2455254.08782 1.000845  0.002028 FTN       
2455254.08881 1.002591  0.002068 FTN       
2455254.08980 1.001365  0.002057 FTN       
2455254.09079 1.001523  0.002066 FTN       
2455254.09176 1.000437  0.002175 FTN       
2455254.09274 1.000651  0.002046 FTN       
2455254.09373 1.000192  0.002073 FTN       
2455254.09472 1.003413  0.002079 FTN       
2455301.60031 0.997649  0.002398 EulerCAM     
2455301.60134 0.996349  0.002399 EulerCAM     
2455301.60215 1.002843  0.002399 EulerCAM     
2455301.60297 1.000544  0.002399 EulerCAM     
2455301.60378 0.999545  0.002398 EulerCAM     
2455301.60456 1.003542  0.002399 EulerCAM     
2455301.60535 0.997945  0.002398 EulerCAM     
2455301.60615 0.997045  0.002399 EulerCAM     
2455301.60791 0.998542  0.002399 EulerCAM     
2455301.60879 0.998741  0.002498 EulerCAM     
2455301.60967 1.002639  0.002498 EulerCAM     
2455301.61055 0.997741  0.002499 EulerCAM     
2455301.61144 0.998540  0.002499 EulerCAM     
2455301.61233 0.998539  0.002499 EulerCAM     
2455301.61322 0.996940  0.002498 EulerCAM     
2455301.61410 0.997738  0.002499 EulerCAM     
2455301.61499 1.002135  0.002499 EulerCAM     
2455301.61588 0.998437  0.002499 EulerCAM     
2455301.61676 0.996638  0.002499 EulerCAM     
2455301.61765 1.003133  0.002498 EulerCAM     
2455301.61853 0.998036  0.002498 EulerCAM     
2455301.61942 1.002132  0.002499 EulerCAM     
2455301.62030 0.996035  0.002498 EulerCAM     
2455301.62119 1.000831  0.002498 EulerCAM     
2455301.62208 1.000831  0.002498 EulerCAM     
2455301.62296 0.997933  0.002498 EulerCAM     
2455301.62385 0.998831  0.002499 EulerCAM     
2455301.62474 1.001829  0.002499 EulerCAM     
2455301.62562 0.997331  0.002499 EulerCAM     
2455301.62650 0.999629  0.002499 EulerCAM     
2455301.62738 1.002326  0.002498 EulerCAM     
2455301.62826 1.000228  0.002498 EulerCAM     
2455301.62914 0.997728  0.002499 EulerCAM     
2455301.63002 1.000825  0.002498 EulerCAM     
2455301.63091 0.994929  0.002498 EulerCAM     
2455301.63179 0.997527  0.002498 EulerCAM     
2455301.63267 0.993729  0.002499 EulerCAM     
2455301.63355 0.993928  0.002498 EulerCAM     
2455301.63443 0.994527  0.002498 EulerCAM     
2455301.63532 0.993627  0.002498 EulerCAM     
2455301.63620 0.993227  0.002498 EulerCAM     
2455301.63708 0.989329  0.002499 EulerCAM     
2455301.63797 0.992226  0.002499 EulerCAM     
2455301.63886 0.990627  0.002498 EulerCAM     
2455301.63974 0.989826  0.002598 EulerCAM     
2455301.64062 0.987427  0.002598 EulerCAM     
2455301.64150 0.988226  0.002599 EulerCAM     
2455301.64238 0.989225  0.002598 EulerCAM     
2455301.64326 0.992522  0.002598 EulerCAM     
2455301.64415 0.987825  0.002598 EulerCAM     
2455301.64503 0.989723  0.002598 EulerCAM     
2455301.64592 0.988223  0.002599 EulerCAM     
2455301.64680 0.984825  0.002598 EulerCAM     
2455301.64784 0.984125  0.002598 EulerCAM     
2455301.64872 0.986123  0.002599 EulerCAM     
2455301.64960 0.984723  0.002598 EulerCAM     
2455301.65048 0.987321  0.002598 EulerCAM     
2455301.65136 0.986021  0.002598 EulerCAM     
2455301.65224 0.985021  0.002598 EulerCAM     
2455301.65312 0.985121  0.002599 EulerCAM     
2455301.65400 0.985620  0.002598 EulerCAM     
2455301.65488 0.988617  0.002598 EulerCAM     
2455301.65576 0.983920  0.002598 EulerCAM     
2455301.65665 0.986817  0.002599 EulerCAM     
2455301.65753 0.985717  0.002598 EulerCAM     
2455301.65842 0.983218  0.002598 EulerCAM     
2455301.65930 0.987915  0.002598 EulerCAM     
