# Parameter Name         Median           Upper 68 CI      Lower 68 CI 
P_p1                   3.9227113993     0.0000002609     0.0000002785
a_p1                   12.4408370877     0.1926486054     0.2138963770
t0_p1                  2456347.9867547047     0.0001241937     0.0001257197
b_p1                   0.1516342693     0.0856232019     0.0916233854
sesinomega_p1          -0.0112748379     0.1058933854     0.1035383048
secosomega_p1          -0.0161063744     0.1223734870     0.1189241683
ecc_p1                 0.0189300258     0.0209963317     0.0133178471
omega_p1               95.3076989645     63.6008266569     66.3766430679
q1_TESS                0.3970141895     0.1115608112     0.0929341209
q2_TESS                0.4077274865     0.1096629385     0.0919580262
p_p1_TESS              0.0965604303     0.0007295091     0.0006599253
rho                    2367.1636920026     111.6804850879     120.0093690490
K_p1                   35.9972445500     2.5278806732     2.6637805694
mu_CORALIE-18          3.3795866922     2.0764457904     2.1413058761
sigma_w_CORALIE-18     0.1028259004     1.3779191558     0.0978023072
