WASP-4b  H2 2454748.620308    57.85916   0.00703     600
WASP-4b  H2 2454748.627958    57.84646   0.00747     600
WASP-4b  H2 2454748.635273    57.81970   0.00725     600
WASP-4b  H2 2454748.642865    57.81142   0.00671     600
WASP-4b  H2 2454748.650446    57.79059   0.00649     600
WASP-4b  H2 2454748.657957    57.76719   0.00594     600
WASP-4b  H2 2454748.665329    57.75065   0.00574     600
WASP-4b  H2 2454748.672910    57.73640   0.00618     600
WASP-4b  H2 2454748.680421    57.73107   0.00673     600
WASP-4b  H2 2454748.688001    57.71750   0.00640     600
WASP-4b  H2 2454748.695374    57.74694   0.00602     600
WASP-4b  H2 2454748.703024    57.72254   0.00621     600
WASP-4b  H2 2454748.710546    57.71510   0.00564     600
WASP-4b  H2 2454748.718069    57.71593   0.00573     600
WASP-4b  H2 2454748.725511    57.69356   0.00562     600
WASP-4b  H2 2454748.733034    57.68893   0.00570     600
WASP-4b  H2 2454748.740545    57.70283   0.00599     600
WASP-4b  H2 2454748.748056    57.69677   0.00603     600
WASP-4b  H2 2454748.755579    57.67217   0.00624     600
WASP-4b  H2 2454748.763090    57.68511   0.00652     600
WASP-4b  H2 2454750.744196    57.89058   0.00405    1800
WASP-5b  C1 2454359.614570    19.78859   0.01785    1801
WASP-5b  C1 2454362.654785    19.94934   0.01630    1801
WASP-5b  C1 2454364.676219    19.76409   0.02288    1801
WASP-5b  C1 2454365.682733    20.20817   0.01378    1801
WASP-5b  C1 2454372.781658    19.75922   0.01459    1801
WASP-5b  C1 2454374.817984    20.01631   0.04516    1801
WASP-5b  C1 2454376.714797    20.26098   0.01558    1801
WASP-5b  C1 2454377.762440    19.75519   0.01445    1801
WASP-5b  C1 2454379.627523    19.91862   0.01587    1801
WASP-5b  C1 2454380.682557    19.84080   0.01142    1801
WASP-5b  C1 2454387.644986    19.82288   0.01649    1801
WASP-5b  C1 2454720.835375    20.05679   0.01816    1801
WASP-5b  C1 2454724.603499    19.73117   0.01661    1801
WASP-5b  C1 2454732.745208    19.74646   0.01812    1802
WASP-5b  C1 2454733.686048    20.16201   0.01556    1801
WASP-5b  C1 2454734.694930    19.99692   0.01726    1801
WASP-5b  H2 2454749.722428    20.29554   0.00334    1200
WASP-5b  H2 2454750.766740    19.83105   0.00361    1800
WASP-5b  H2 2454753.696462    19.79468   0.00391    1800
WASP-5b  H2 2454754.773661    20.25200   0.00338    1800
WASP-5b  H2 2454756.491182    20.18379   0.00363     900
WASP-5b  H2 2454756.570483    20.11309   0.00456     600
WASP-5b  H2 2454756.578469    20.11813   0.00483     600
WASP-5b  H2 2454756.586466    20.09061   0.00527     600
WASP-5b  H2 2454756.594846    20.08995   0.00551     600
WASP-5b  H2 2454756.602762    20.08266   0.00497     600
WASP-5b  H2 2454756.610747    20.07852   0.00478     600
WASP-5b  H2 2454756.618814    20.06709   0.00485     600
WASP-5b  H2 2454756.626904    20.05854   0.00512     600
WASP-5b  H2 2454756.635121    20.06323   0.00462     600
WASP-5b  H2 2454756.643107    20.06533   0.00456     600
WASP-5b  H2 2454756.651173    20.06765   0.00439     600
WASP-5b  H2 2454756.659090    20.05028   0.00496     600
WASP-5b  H2 2454756.667399    20.02693   0.00544     600
WASP-5b  H2 2454756.675223    20.01679   0.00543     600
WASP-5b  H2 2454756.683440    19.98896   0.00543     600
WASP-5b  H2 2454756.691345    19.97164   0.00657     600
WASP-5b  H2 2454756.699261    19.95174   0.00564     600
WASP-5b  H2 2454756.707640    19.95588   0.00544     600
WASP-5b  H2 2454756.715788    19.95272   0.00518     600
WASP-5b  H2 2454756.723530    19.94652   0.00542     600
WASP-5b  H2 2454756.731748    19.94944   0.00645     600
WASP-5b  H2 2454756.739965    19.94136   0.00637     600
WASP-5b  H2 2454756.747869    19.93104   0.00559     600
WASP-5b  H2 2454756.755936    19.93294   0.00689     600
WASP-5b  H2 2454756.764084    19.92913   0.00640     600
