# From https://www.aanda.org/articles/aa/full/2004/04/aa0091/aa0091.html
# --------------------------------------------------------------------------------
#   Bytes Format Units   Label     Explanations
#--------------------------------------------------------------------------------
#   1- 12 F12.4  d       BJD       Barycentric Julian date
#  14- 20 F7.3   km/s    RV        Barycentric radial velocity (1)
#  22- 26 F5.3   km/s  e_RV        Full RV uncertainty
#      28 I1     --      Instr     [1,2] Instrument (1: ELODIE, CORALIE: CORALIE)
2451783.6224 -14.806 0.011 CORALIE
2451784.6762 -14.790 0.013 CORALIE
2451785.6117 -14.689 0.012 CORALIE
2451785.6234 -14.637 0.011 CORALIE
2451786.6927 -14.723 0.008 CORALIE
2451786.7044 -14.713 0.008 CORALIE
2451789.7117 -14.667 0.007 CORALIE
2451790.6460 -14.776 0.010 CORALIE
2451791.6388 -14.809 0.009 CORALIE
2451793.6381 -14.697 0.014 CORALIE
2451795.5976 -14.761 0.012 CORALIE
2451843.6175 -14.798 0.009 CORALIE
2451843.6293 -14.811 0.010 CORALIE
2451861.5082 -14.819 0.011 CORALIE
2451861.5200 -14.830 0.010 CORALIE
2451862.5061 -14.763 0.011 CORALIE
2451862.5179 -14.753 0.009 CORALIE
2451863.5144 -14.669 0.013 CORALIE
2451863.5261 -14.635 0.013 CORALIE
2451864.5240 -14.789 0.013 CORALIE
2451865.5384 -14.791 0.014 CORALIE
2451868.5136 -14.819 0.010 CORALIE
2451868.5254 -14.811 0.011 CORALIE
2451872.5226 -14.774 0.015 CORALIE
2451872.5345 -14.804 0.014 CORALIE
2452075.5938 -14.685 0.009 ELODIE
2452111.5440 -14.815 0.012 ELODIE
2452111.5590 -14.800 0.012 ELODIE
2452112.5550 -14.779 0.009 ELODIE
2452115.5635 -14.830 0.010 ELODIE
2452116.5826 -14.709 0.010 ELODIE
2452117.5110 -14.664 0.010 ELODIE
2452129.7178 -14.806 0.010 CORALIE
2452130.7201 -14.693 0.007 CORALIE
2452130.7318 -14.705 0.007 CORALIE
2452140.7224 -14.798 0.013 CORALIE
2452140.7341 -14.780 0.011 CORALIE
2452142.7380 -14.727 0.007 CORALIE
2452143.7272 -14.816 0.007 CORALIE
2452143.7379 -14.834 0.009 CORALIE
2452150.6862 -14.816 0.007 CORALIE
2452150.6980 -14.820 0.008 CORALIE
2452158.4978 -14.763 0.014 ELODIE
2452158.5107 -14.737 0.014 ELODIE
2452159.5570 -14.658 0.011 ELODIE
2452161.3581 -14.802 0.014 ELODIE
2452161.6786 -14.820 0.012 CORALIE
2452162.6817 -14.694 0.006 CORALIE
2452164.4136 -14.778 0.012 ELODIE
2452165.6634 -14.752 0.014 CORALIE
2452166.6748 -14.665 0.010 CORALIE
2452168.6273 -14.839 0.008 CORALIE
2452169.6752 -14.677 0.010 CORALIE
2452170.6661 -14.698 0.010 CORALIE
2452171.6347 -14.819 0.009 CORALIE
2452172.6419 -14.766 0.007 CORALIE
2452173.6323 -14.645 0.007 CORALIE
2452175.6530 -14.837 0.009 CORALIE
2452177.6713 -14.707 0.009 CORALIE
2452178.6212 -14.800 0.014 CORALIE
2452184.6321 -14.669 0.007 CORALIE
2452184.6437 -14.675 0.008 CORALIE
2452217.3981 -14.818 0.012 ELODIE
2452218.3558 -14.779 0.010 ELODIE
2452247.2769 -14.692 0.013 ELODIE
2452439.9316 -14.825 0.009 CORALIE
2452439.9435 -14.800 0.010 CORALIE
2452532.4656 -14.722 0.013 ELODIE
2452561.2874 -14.698 0.012 ELODIE
2452565.3698 -14.713 0.014 ELODIE
