# From https://academic.oup.com/mnras/article/426/1/739/1011213#17865253
# WASP number, BJD-2400000, RV (km/s), rverr
#
66 55711.5280  -9.799 0.048 -0.229
66 55722.4965 -10.153 0.046 -0.232
66 55958.7274 -10.388 0.044  0.012
66 56000.6947  -9.983 0.045 -0.115
67 55765.7296  -0.610 0.013  0.028
67 55767.7027  -0.507 0.015  0.019
67 55768.6736  -0.544 0.011  0.027
67 55769.6850  -0.613 0.011  0.030
67 55770.7119  -0.610 0.013 -0.015
67 55777.7996  -0.511 0.014  0.029
67 55793.5324  -0.605 0.017 -0.017
67 55794.5285  -0.548 0.017  0.017
67 55795.5247  -0.528 0.014  0.020
67 55798.5058  -0.586 0.026 -0.006
67 55803.5145  -0.567 0.018 -0.052
67 55804.5425  -0.495 0.013 -0.009
67 55805.4867  -0.532 0.012  0.010
67 55806.6210  -0.600 0.015  0.001
67 55807.6815  -0.607 0.014  0.018
67 55819.5305  -0.540 0.010  0.017
67 55820.5790  -0.626 0.010 -0.004
67 55826.5015  -0.570 0.014 -0.026
67 55851.5050  -0.548 0.013 -0.009
