# From https://iopscience.iop.org/article/10.3847/1538-3881/aae1f5
#Title: Radial velocities from the N2K Project: 6 new cold gas giant planets 
#       orbiting HD-55696, HD-98736, HD-148164, HD-203473, and HD-211810 
#Authors: Ment K., Fischer D.A., Bakos G., Howard A.W., Isaacson H. 
#Table: Radial velocities for N2K stars
#================================================================================
#Byte-by-byte Description of file: ajaae1f5t2_mrt.txt
#--------------------------------------------------------------------------------
#   Bytes Format Units   Label  Explanations
#--------------------------------------------------------------------------------
#   1- 10 A10    --      Name   Name of the star
#  12- 21 F10.4  d       JD     Julian Date, JD-2440000
#  23- 40 F18.11 m/s     RVel   Radial Velocity
#  42- 52 F11.7  m/s   e_RVel   Radial Velocity Error
#  54- 59 F6.4   --      SHK    []? Ca II H&K line emission indicator
#--------------------------------------------------------------------------------
HAT-P-1    14346.1160    -30.41523100000   2.8366600 0.1580 
HAT-P-1    14346.1190    -20.30197200000   2.6313800 0.1580 
HAT-P-1    14346.1230    -25.82263400000   2.6269700 0.1580 
HAT-P-1    14346.1260    -25.17414500000   2.6067000 0.1580 
HAT-P-1    14346.1410     -5.51825030000   2.8215900 0.1580 
HAT-P-1    14808.7870     48.73486200000   1.9729500 0.1610 
HAT-P-1    15376.0860     53.58431600000   2.0867000 0.1590 
HAT-P-1    16173.0770    -50.80435700000   2.6374200 0.1560 
HAT-P-12   14187.0270     47.51042100000   3.1311000 0.2580 
HAT-P-12   14187.9860    -11.51881900000   2.7235800 0.2640 
HAT-P-12   14188.0990    -14.76918600000   2.6196400 0.2610 
HAT-P-12   14188.1500    -21.60415300000   3.0355100 0.2610 
HAT-P-12   14188.9880    -30.13836800000   2.3473900 0.2550 
HAT-P-12   14189.0690    -34.10819100000   2.5598500 0.2570 
HAT-P-12   14189.1190    -18.61293400000   2.8334000 0.2570 
HAT-P-12   14216.9380     -9.99605770000   2.7872500 0.2530 
HAT-P-12   14247.8590     33.17213600000   3.2847100 0.2620 
HAT-P-12   14250.8620     23.53230300000   3.2199700 0.2530 
HAT-P-12   14251.9110      9.18422940000   3.0917500 0.2590 
HAT-P-12   14548.0270    -21.87577000000   2.6499900 0.3000 
HAT-P-12   14548.9210    -23.44888100000   2.7101800 0.2550 
HAT-P-12   14602.7760    -21.87625600000   2.2425800 0.2500 
HAT-P-12   14603.0180    -32.25362100000   2.4052500 0.2510 
HAT-P-12   14603.7620     -8.14491040000   2.2574600 0.2400 
HAT-P-12   14604.0670      4.47930630000   2.9724900 0.2590 
HAT-P-12   14633.9430     29.49942700000   3.0682600 0.2590 
HAT-P-12   14636.8680     40.69290300000   2.8524900 0.2560 
HAT-P-12   14639.8360     30.39887700000   2.9830400 0.2500 
HAT-P-12   14674.7650     -1.67081190000   2.3642500 0.2590 
HAT-P-12   14726.7120      7.25486180000   6.4717800 0.2100 
HAT-P-12   15321.8730     20.83087400000   2.7103200 0.2560 
HAT-P-12   16018.9170     22.11831700000   3.5359900 0.3580 
HAT-P-12   16079.8220     27.29596800000   2.9550300 0.3340 
HAT-P-12   16319.0220    -37.72373500000   7.3397300 0.3520 
HAT-P-12   16345.0410    -21.53263300000   3.0365300 0.3750 
HAT-P-3    14187.0080    -34.35809600000   1.5380500 0.2350 
HAT-P-3    14187.1260    -62.63816000000   1.7502200 0.2070 
HAT-P-3    14187.9760    -69.70797900000   1.5957100 0.2070 
HAT-P-3    14188.0550    -55.93064600000   1.3162500 0.2080 
HAT-P-3    14188.9770     82.88280200000   1.4580300 0.2060 
HAT-P-3    14189.0590     79.08825500000   1.4422700 0.2050 
HAT-P-3    14189.1090     79.45400600000   1.5003200 0.2050 
HAT-P-3    14250.8560    -41.93221300000   2.0293200 0.1940 
HAT-P-3    14278.8620     73.41061900000   2.5650600 0.1970 
HAT-P-3    15320.8980    -53.04680200000   1.8618200 0.1950 
HAT-P-4    14186.9820     52.70127600000   2.4474300 0.1490 
HAT-P-4    14187.1090     49.57400400000   2.1509700 0.1490 
HAT-P-4    14188.0080    -70.36931800000   2.1768400 0.1470 
HAT-P-4    14188.0680    -77.30905700000   1.9460500 0.1470 
HAT-P-4    14188.9990    -65.68787200000   2.3891900 0.1460 
HAT-P-4    14189.0790    -48.73707600000   2.1701500 0.1450 
HAT-P-4    14189.1290    -52.52818400000   2.5020300 0.1450 
HAT-P-4    14249.9350    -83.71610100000   3.0449200 0.1470 
HAT-P-4    14279.8620    -70.22321900000   2.8977700 0.1450 
HAT-P-4    15284.8900     10.55913700000   3.1944600 0.1360 
HAT-P-4    15284.8970     14.10855800000   3.4862500 0.1360 
HAT-P-4    15284.9040      6.86698120000   2.9074900 0.1360 
HAT-P-4    15284.9100      5.73040300000   3.1984300 0.1360 
HAT-P-4    15284.9240      6.40383930000   3.1581600 0.1360 
HAT-P-4    15284.9300      6.66425230000   3.0848100 0.1360 
HAT-P-4    15284.9370      1.92090480000   3.1758000 0.1360 
HAT-P-4    15284.9440     -6.56790070000   2.7528500 0.1360 
HAT-P-4    15284.9560     21.19134000000   3.0720800 0.1430 
HAT-P-4    15284.9610     33.64863300000   2.7912500 0.1430 
HAT-P-4    15284.9660     24.39717500000   2.8291300 0.1430 
HAT-P-4    15284.9700     35.45131200000   2.7831400 0.1430 
HAT-P-4    15284.9800     30.40317700000   2.8792900 0.1430 
HAT-P-4    15284.9850     45.15545700000   2.6959300 0.1430 
HAT-P-4    15284.9890     20.90353800000   2.9641500 0.1430 
HAT-P-4    15284.9930     33.91834500000   2.8684800 0.1430 
