# Parameter Name         Median           Upper 68 CI      Lower 68 CI 
P_p1                   3.2130583645     0.0000002501     0.0000002571
t0_p1                  2456716.5326623195     0.0000554034     0.0000554733
b_p1                   0.2433069448     0.0644156290     0.0737798243
sesinomega_p1          0.0258195957     0.1100813370     0.1254160589
secosomega_p1          0.0861011572     0.0756508595     0.1035421269
ecc_p1                 0.0223673853     0.0212319172     0.0154112435
omega_p1               52.5216253608     48.4197314500     34.4578890815
q1_TESS                0.2443272273     0.1285897390     0.0729575308
q2_TESS                0.6774113341     0.2053727242     0.2302081388
p_p1_TESS              0.1388970564     0.0014845590     0.0015421746
a_p1                   11.7095688915     0.2805656644     0.3250528978
K_p1                   35.4939591586     1.4399261428     1.3778046327
mu_HIRES-1             -2.3435051389     0.9184412254     0.9378736047
sigma_w_HIRES-1        3.9673630900     1.0096196556     0.8200738809
mflux_Kuiper-ref17     -0.0004240435     0.0017922660     0.0015394585
sigma_w_Kuiper-ref17     879.1338756642     166.1948092809     158.6047164864
q1_Kuiper-ref17        0.7691661718     0.1468339962     0.1642396597
q2_Kuiper-ref17        0.4829497558     0.1367215216     0.1087821858
p_p1_Kuiper-ref17      0.1407970812     0.0031350177     0.0033872810
GP_sigma_Kuiper-ref17     0.0017035916     0.0062294019     0.0008545641
GP_rho_Kuiper-ref17     0.0481135418     0.1594252968     0.0296987881
mflux_FLWO-ref37       0.0001207783     0.0002830880     0.0002883704
sigma_w_FLWO-ref37     2087.4961134019     79.4001256466     78.9742504254
q1_FLWO-ref37          0.4587490447     0.1957555338     0.1589309701
q2_FLWO-ref37          0.3440601187     0.1994875236     0.1517575546
p_p1_FLWO-ref37        0.1405120929     0.0019181868     0.0018273688
GP_sigma_FLWO-ref37     0.0010787971     0.0001963471     0.0001559559
GP_rho_FLWO-ref37      0.0119333417     0.0039664166     0.0028510331
