# Parameter Name         Median           Upper 68 CI      Lower 68 CI 
P_p1                   1.8098810683     0.0000000613     0.0000000482
a_p1                   3.9504500714     0.0621278405     0.0639153700
t0_p1                  2456107.8550505051     0.0000759033     0.0001109336
b_p1                   0.1593203720     0.0261424669     0.0307441913
sesinomega_p1          0.1470757359     0.0572169531     0.0511634773
secosomega_p1          0.1381058481     0.0468362956     0.0522096344
ecc_p1                 0.0460717484     0.0173154548     0.0218863749
omega_p1               46.1434717977     17.0800150986     13.1873131359
q1_TESS                0.2179196358     0.0148754626     0.0145472026
q2_TESS                0.3268393382     0.0266035968     0.0253668093
p_p1_TESS              0.1068231115     0.0001413142     0.0001365749
rho                    356.0343305057     17.0634097477     17.0030430657
K_p1                   116.8138053195     2.7722554004     3.1253220948
mu_CORALIE-32          6.8468428993     3.8626409813     3.9017539413
sigma_w_CORALIE-32     7.8396849483     4.5162335994     2.9637897092
mu_SOPHIE-32           20.4448845687     3.9785379761     3.5448625901
sigma_w_SOPHIE-32      10.3359598529     3.0227202412     2.4735040616
mflux_EulerCAM-ref32     -0.0007520039     0.0009033045     0.0008845660
sigma_w_EulerCAM-ref32     2337.3648787861     98.4490111806     86.8467977104
q1_EulerCAM-ref32      0.1016477747     0.0950867542     0.0689005319
q2_EulerCAM-ref32      0.3789539981     0.1363726279     0.1288280226
p_p1_EulerCAM-ref32     0.1095830566     0.0031421347     0.0029726534
GP_sigma_EulerCAM-ref32     0.0021878511     0.0009668402     0.0004202973
GP_rho_EulerCAM-ref32     0.0087345902     0.0067577166     0.0026407005
mflux_TRAPPIST-ref32     -0.0053078273     0.0014019303     0.0013977159
sigma_w_TRAPPIST-ref32     2152.4561646546     64.5556508244     62.2503772936
q1_TRAPPIST-ref32      0.8331838365     0.0896878538     0.0908993907
q2_TRAPPIST-ref32      0.4115331016     0.1126590949     0.1164510800
p_p1_TRAPPIST-ref32     0.1017909711     0.0034645979     0.0038902526
GP_sigma_TRAPPIST-ref32     0.0059295420     0.0008107986     0.0006575659
GP_rho_TRAPPIST-ref32     0.0325783455     0.0037492132     0.0033679950
