# Parameter Name         Median           Upper 68 CI      Lower 68 CI 
P_p1                   3.3610024157     0.0000001034     0.0000001170
a_p1                   10.7334243039     0.1544345949     0.2715880125
t0_p1                  2455591.2895907890     0.0000498234     0.0000605183
b_p1                   0.3055647114     0.0226567082     0.0287966356
sesinomega_p1          0.1022821079     0.0978578737     0.1098087174
secosomega_p1          0.0032923092     0.0777443138     0.0721021105
ecc_p1                 0.0189425329     0.0256915471     0.0149843986
omega_p1               87.2169112412     37.7447436181     37.3363596484
q1_TESS                0.3428384961     0.0976477005     0.0756404935
q2_TESS                0.2428883093     0.0926157684     0.0855060557
p_p1_TESS              0.1444816904     0.0007219331     0.0008122358
rho                    2070.7585979728     90.6754918475     153.2453669016
K_p1                   70.9342757950     2.1560145117     2.2695261274
mu_CORALIE-28          -5.6508044069     2.0178072724     1.8784787674
sigma_w_CORALIE-28     0.1377954782     1.2616176720     0.1245701191
mu_HARPS-28            -3.1581948720     1.6290245530     1.5364914601
sigma_w_HARPS-28       6.5317586163     1.8145379092     1.5123651863
mflux_FTS-ref28        0.0000061413     0.0005842516     0.0005630141
sigma_w_FTS-ref28      1025.2260060771     97.3842611404     91.7113654721
q1_FTS-ref28           0.1971068150     0.1027004941     0.0605057707
q2_FTS-ref28           0.6337015419     0.2213245629     0.2451265206
p_p1_FTS-ref28         0.1442274513     0.0019309226     0.0021556889
GP_sigma_FTS-ref28     0.0008400190     0.0007398034     0.0002981704
GP_rho_FTS-ref28       0.0173855424     0.0203622725     0.0081762221
mflux_LTRISE-ref28     0.0000975264     0.0004056740     0.0005061720
sigma_w_LTRISE-ref28     10.5077722556     61.9181757980     9.5175899738
q1_LTRISE-ref28        0.3592962258     0.0948047877     0.0758649435
q2_LTRISE-ref28        0.4662022009     0.1330959403     0.1287315009
p_p1_LTRISE-ref28      0.1463759204     0.0015750671     0.0016989106
GP_sigma_LTRISE-ref28     0.0007262198     0.0007108629     0.0002208134
GP_rho_LTRISE-ref28     0.0226787867     0.0943600841     0.0128861787
