WASP-95  56124.78976   6.1104 0.0044  0.0045
WASP-95  56154.61484   6.4146 0.0052 -0.0179
WASP-95  56158.83755   6.4623 0.0051 -0.0342
WASP-95  56159.61118   6.1745 0.0060 -0.0398
WASP-95  56175.66310   6.2542 0.0057  0.0214
WASP-95  56183.79219   6.1223 0.0044 -0.0028
WASP-95  56184.63241   6.3823 0.0043  0.0001
WASP-95  56186.57847   6.2502 0.0046 -0.0180
WASP-95  56190.64763   6.1425 0.0045 -0.0039
WASP-95  56204.66498   6.4644 0.0047 -0.0101
WASP-95  56210.59935   6.2655 0.0046 -0.0120
WASP-95  56218.62753   6.1244 0.0050 -0.0325
WASP-95  56249.52067   6.1149 0.0045 -0.0273
WASP-95  56421.91057   6.1243 0.0061 -0.0141
WASP-96  55837.77244  -1.2908 0.0147  0.0135
WASP-96  55842.82324  -1.1588 0.0247 -0.0770
WASP-96  55862.64793  -1.2289 0.0252 -0.0475
WASP-96  55864.67641  -1.2714 0.0145  0.0347
WASP-96  55866.66671  -1.1816 0.0165 -0.0153
WASP-96  55868.69491  -1.2905 0.0166  0.0105
WASP-96  55893.66822  -1.2131 0.0137 -0.0099
WASP-96  55914.62140  -1.1516 0.0087 -0.0378
WASP-96  56126.94175  -1.1736 0.0203 -0.0453
WASP-96  56158.86603  -1.2679 0.0182 -0.0596
WASP-96  56159.91569  -1.2776 0.0184  0.0043
WASP-96  56165.76563  -1.2427 0.0189 -0.0376
WASP-96  56166.69782  -1.2877 0.0141 -0.0796
WASP-96  56167.89289  -1.2117 0.0182 -0.0389
WASP-96  56183.65081  -1.2965 0.0112 -0.0179
WASP-96  56184.86467  -1.1941 0.0115 -0.0336
WASP-96  56186.73409  -1.2953 0.0146 -0.0372
WASP-96  56210.70970  -1.2869 0.0151 -0.0549
WASP-96  56211.76802  -1.2292 0.0153 -0.0156
WASP-96  56212.73003  -1.1724 0.0155 -0.0402
WASP-96  56216.76368  -1.2083 0.0166 -0.1198
WASP-97  56186.81368   6.9925 0.0051 -0.0399
WASP-97  56212.76688   6.6170 0.0054 -0.0289
WASP-97  56216.54355   6.7285 0.0065 -0.0486
WASP-97  56216.87170   6.6197 0.0062 -0.0551
WASP-97  56217.54749   6.8762 0.0053 -0.0223
WASP-97  56217.69227   6.9665 0.0057 -0.0341
WASP-97  56218.65150   6.6956 0.0059 -0.0325
WASP-97  56235.80022   6.6506 0.0052 -0.0440
WASP-97  56236.81028   6.9715 0.0060 -0.0381
WASP-97  56245.67061   6.6781 0.0047 -0.0334
WASP-97  56249.71417   6.7320 0.0047 -0.0544
WASP-97  56250.73335   6.8711 0.0047 -0.0350
WASP-98  55880.83266 -38.488  0.053  -0.064
WASP-98  56166.91070 -38.175  0.049   0.014
WASP-98  56169.80966 -38.085  0.035  -0.006
WASP-98  56171.86837 -38.286  0.023  -0.059
WASP-98  56172.81705 -38.169  0.034  -0.049
WASP-98  56181.79287 -38.169  0.019  -0.058
WASP-98  56182.77109 -38.425  0.023  -0.066
WASP-98  56183.81662 -38.236  0.029  -0.009
WASP-98  56193.79087 -38.182  0.041  -0.144
WASP-98  56212.83097 -38.435  0.030  -0.015
WASP-98  56215.78658 -38.452  0.042  -0.123
WASP-98  56216.80025 -38.193  0.030  -0.023
WASP-98  56218.87043 -38.393  0.039   0.002
WASP-98  56245.74983 -38.363  0.021  -0.020
WASP-99  55964.57514  25.1546 0.0055  0.0390
WASP-99  56191.69713  24.7021 0.0055  0.0034
WASP-99  56220.68865  24.7089 0.0051  0.0211
WASP-99  56222.84788  25.1631 0.0089  0.0161
WASP-99  56235.72472  25.1520 0.0049  0.0077
WASP-99  56236.83451  24.8753 0.0056  0.0145
WASP-99  56244.52954  24.8166 0.0054  0.0030
WASP-99  56245.51984  25.0697 0.0055  0.0271
WASP-99  56245.80203  25.1322 0.0050 -0.0020
WASP-99  56246.65252  25.2060 0.0051  0.0212
WASP-99  56249.73839  24.7458 0.0050 -0.0064
WASP-99  56250.52652  24.8689 0.0051  0.0105
WASP-99  56250.81201  24.9434 0.0051  0.0253
WASP-99  56252.52740  25.1973 0.0053  0.0142
WASP-99  56262.61841  25.0335 0.0055  0.0096
WASP-99  56264.76797  25.0877 0.0053  0.0282
WASP-99  56270.68682  25.0331 0.0048  0.0131
WASP-99  56277.63214  24.7788 0.0058  0.0107
WASP-99  56291.59502  25.0659 0.0057  0.0250
WASP-99  56320.56111  25.1396 0.0053  0.0081
WASP-100 56191.79570  30.1862 0.0303 -0.0235
WASP-100 56218.80565  29.7640 0.0277  0.0057
WASP-100 56221.67734  29.8115 0.0329 -0.1157
WASP-100 56223.66373  30.0399 0.0512 -0.0977
WASP-100 56225.80501  30.1389 0.0273 -0.0720
WASP-100 56235.82292  29.7458 0.0237 -0.0119
WASP-100 56236.85642  29.9838 0.0275 -0.0779
WASP-100 56249.80345  29.8445 0.0216 -0.0179
WASP-100 56251.68749  30.2010 0.0232 -0.0286
WASP-100 56253.56428  29.8676 0.0331 -0.0514
WASP-100 56254.71462  30.1979 0.0229 -0.0227
WASP-100 56257.82514  30.0374 0.0267 -0.0264
WASP-100 56270.71084  29.8866 0.0210 -0.0950
WASP-100 56277.65513  30.1447 0.0258  0.0205
WASP-100 56291.61866  30.1593 0.0272 -0.1435
WASP-100 56292.57783  29.8209 0.0285 -0.0607
WASP-100 56309.67381  29.8509 0.0260 -0.0119
WASP-100 56336.58538  30.0025 0.0305 -0.0076
WASP-100 56361.51310  29.7559 0.0280  0.0866
WASP-101 55568.70058  42.6611 0.0138  0.0310
