# Parameter Name         Median           Upper 68 CI      Lower 68 CI 
P_p1                   4.2345032371     0.0000005289     0.0000005193
a_p1                   12.5104395796     0.1944842873     0.2225873365
t0_p1                  2456892.5904213721     0.0000838130     0.0000917488
b_p1                   0.3714587483     0.0689690635     0.0782251348
sesinomega_p1          0.1969516019     0.0829247393     0.0962492553
secosomega_p1          0.2463039772     0.1043141193     0.1547236780
ecc_p1                 0.1104008589     0.0449064506     0.0428995954
omega_p1               39.0024414342     30.7689096146     20.0290046473
rho                    2065.6893775269     97.8437260867     108.3086050556
K_p1                   8.7764363688     0.9348380080     0.9424917135
mu_HIRES-1             -0.6326134440     0.6809429354     0.7145697597
sigma_w_HIRES-1        3.1953061380     0.7547380156     0.6235443671
mflux_TESS             -0.0000595163     0.0031949363     0.0027101918
sigma_w_TESS           11.0688900008     99.3169182958     10.3918360636
q1_TESS                0.4720565487     0.2818781044     0.2319244647
q2_TESS                0.3540030237     0.3659499245     0.2390243129
p_p1_TESS              0.0721794948     0.0012547125     0.0013631192
GP_sigma_TESS          0.0023291144     0.0071280184     0.0019491555
GP_rho_TESS            144.6886293543     327.1564009410     123.5867043131
mflux_FLWO-ref42       0.0000163490     0.0001145641     0.0000951487
sigma_w_FLWO-ref42     1591.9701995461     36.1735533346     39.3072526447
q1_FLWO-ref42          0.1942851618     0.1672072968     0.1061007779
q2_FLWO-ref42          0.2848065719     0.3927085862     0.2051785821
p_p1_FLWO-ref42        0.0743025611     0.0009228650     0.0009612919
GP_sigma_FLWO-ref42     0.0001183546     0.0003335245     0.0000880945
GP_rho_FLWO-ref42      3.0945712013     254.1590155520     3.0898614796
