I+z 2455537.79029999999 0.999468312129488 3.247985562197906E-3  -0.55  -0.30 1.45487956024  3.6978   177.232
I+z 2455537.79058999987 0.995558791824459 3.242457391285297E-3  -1.23  -0.46 1.45253014822  3.5963   178.915
I+z 2455537.79082999984 1.000881157202110 3.234478528219857E-3  -1.37  -0.59 1.45056573161  3.6554   179.993
I+z 2455537.79135000007 1.003282143079430 3.223629368795498E-3  -1.64  -0.87 1.44638402191  3.8257   180.653
I+z 2455537.79160000011 0.996396710156247 3.222783284145036E-3  -1.59  -0.93 1.44435330941  3.7473   181.599
I+z 2455537.79185000015 1.000826009960600 3.214220441064845E-3  -1.38  -0.96 1.44242322432  3.7476   182.710
I+z 2455537.79209000012 0.997754284166258 3.209296465820578E-3  -1.69  -1.04 1.44050122811  3.7642   183.623
I+z 2455537.79233000008 1.002516229829320 3.204555012154204E-3  -2.01  -1.06 1.43858728131  3.8770   185.273
I+z 2455537.79258000012 0.991322166366774 3.202601604973425E-3  -2.77  -1.16 1.43668134842  3.6474   185.438
I+z 2455537.79282000009 0.995564958945582 3.200790711505292E-3  -2.73  -1.03 1.43478338323  3.7498   185.592
I+z 2455537.79306000005 0.999713936076570 3.191854528201360E-3  -2.54  -1.23 1.43289335077  3.6368   186.241
I+z 2455537.79332000017 0.997179290111444 3.190847613648542E-3  -2.51  -1.18 1.43092178384  3.7857   187.319
I+z 2455537.79357000021 0.988845141311687 3.186463959582473E-3  -3.19  -1.20 1.42895883724  3.7429   187.913
I+z 2455537.79382999986 0.992339799754736 3.182600926847471E-3  -3.53  -1.45 1.42700446750  3.7224   189.926
I+z 2455537.79406000022 0.999045994663570 3.172285555634380E-3  -4.11  -1.31 1.42523517318  3.7266   190.619
I+z 2455537.79430000018 0.993538131453414 3.172789936434601E-3  -4.25  -1.48 1.42338496987  3.6081   192.555
I+z 2455537.79455999983 1.000203921238960 3.160946653400386E-3  -5.07  -1.25 1.42145492702  3.4990   193.006
I+z 2455537.79479999980 0.996833484420988 3.162582835897961E-3  -4.57  -1.30 1.41962045713  3.7009   193.325
I+z 2455537.79504000023 0.994620210026387 3.163007917535348E-3  -3.96  -1.48 1.41779361526  4.0931   191.708
I+z 2455537.79532000003 0.986456993364826 3.153274807196143E-3  -4.42  -1.50 1.41571509142  3.7368   188.760
I+z 2455537.79553999985 0.992923378523908 3.150409293010073E-3  -5.17  -1.42 1.41407658804  3.8661   187.924
I+z 2455537.79581000004 0.991377008309367 3.145580809611090E-3  -5.00  -1.72 1.41210137064  3.8876   184.206
I+z 2455537.79605000000 0.984763825638629 3.142387285278909E-3  -5.60  -1.84 1.41030574717  3.8493   182.556
I+z 2455537.79628999997 0.988475464226545 3.135168704047272E-3  -5.67  -1.85 1.40851756793  3.7635   180.763
I+z 2455537.79655000009 0.988892188026988 3.130658980662371E-3  -5.64  -2.06 1.40665218407  3.7277   178.871
I+z 2455537.79677999998 0.980917913689685 3.129096991316807E-3  -5.73  -1.95 1.40496340582  3.7838   178.838
I+z 2455537.79703000002 0.989335866270420 3.120994591376134E-3  -5.80  -2.32 1.40311343538  3.8155   179.597
I+z 2455537.79728000006 0.985425589430252 3.119403576100545E-3  -6.12  -2.21 1.40135503257  3.7801   180.037
I+z 2455537.79750999995 0.979549816418421 3.117983113856782E-3  -6.68  -2.50 1.39968712225  3.9543   179.091
I+z 2455537.79773999983 0.984909804752652 3.108959285970240E-3  -6.84  -2.39 1.39802577687  3.7963   178.002
I+z 2455537.79797000019 0.984374035104715 3.104952577534215E-3  -6.74  -2.65 1.39637097072  3.7673   178.046
I+z 2455537.79822000023 0.982656663112074 3.103713290820028E-3  -6.80  -2.60 1.39455819587  3.6664   176.209
I+z 2455537.79846999981 0.977135330978386 3.104463267455660E-3  -6.60  -2.63 1.39283512929  3.8241   174.625
I+z 2455537.79870999977 0.980147439964377 3.093382551764010E-3  -6.86  -2.72 1.39111916913  3.7808   174.207
I+z 2455537.79893000005 0.978307295679263 3.089784887093487E-3  -7.01  -2.96 1.38957273225  3.7635   173.844
I+z 2455537.79919999978 0.970166637482384 3.089372476830082E-3  -7.44  -3.07 1.38770843752  3.7675   173.613
I+z 2455537.79944999982 0.981775879028822 3.080691195183654E-3  -7.47  -3.05 1.38593306958  3.7622   174.009
I+z 2455537.79970999993 0.981294247268922 3.076700183863428E-3  -7.61  -3.05 1.38416535722  3.6933   174.812
I+z 2455537.79995999997 0.978418360402408 3.074282287685830E-3  -7.65  -3.50 1.38240526708  3.5590   175.604
I+z 2455537.80022000009 0.981417511052500 3.069811812681742E-3  -7.89  -3.38 1.38065275638  3.7531   175.956
I+z 2455537.80047000013 0.974337398440604 3.066433423241493E-3  -7.78  -3.57 1.37890779230  3.6432   174.328
I+z 2455537.80072000017 0.975053680587719 3.060347453848387E-3  -7.91  -3.51 1.37717033903  3.6332   172.579
I+z 2455537.80097999983 0.984791592173391 3.052425181312182E-3  -8.21  -3.71 1.37544036101  3.9309   169.972
I+z 2455537.80122999987 0.979829618464905 3.049203988310541E-3  -8.39  -3.80 1.37371782292  3.8770   167.827
I+z 2455537.80148999998 0.974276057398033 3.046279223296129E-3  -8.98  -3.91 1.37200268969  3.7126   165.660
I+z 2455537.80174000002 0.977864285630179 3.039237507578749E-3  -9.66  -4.17 1.37029492652  3.7122   163.471
I+z 2455537.80196999991 0.974449664856537 3.036713803982442E-3 -10.29  -3.99 1.36874878008  3.9837   162.228
I+z 2455537.80223000003 0.979353009109435 3.030498558693368E-3 -10.31  -4.24 1.36705499118  3.9009   161.271
