# Parameter Name         Median           Upper 68 CI      Lower 68 CI 
P_p1                   4.4119383600     0.0000001749     0.0000002005
a_p1                   9.9695306224     0.1705167896     0.2019537893
t0_p1                  2458427.5532578058     0.0000227750     0.0000234591
b_p1                   0.2223605963     0.0069808055     0.0070941436
sesinomega_p1          -0.1318259643     0.0952281309     0.0625658653
secosomega_p1          -0.1173572546     0.0907492768     0.0638604403
ecc_p1                 0.0384925440     0.0141871270     0.0181091514
omega_p1               176.7514355644     2.4352407027     5.3283059603
q1_TESS                0.1980560829     0.0091727116     0.0100799912
q2_TESS                0.3177706217     0.0214036089     0.0183531652
p_p1_TESS              0.1107285011     0.0000762412     0.0000682650
rho                    962.9806874151     50.2618690647     57.3442685734
K_p1                   61.2096682172     3.5328395533     4.0400552996
mu_CORALIE-25          -8.9216869473     2.5456667502     2.7920230567
sigma_w_CORALIE-25     9.9116097653     3.4990318225     3.7716903759
