2455873.56252  0.0024  0.0041 WASP-78
2455873.56281 -0.0018  0.0041 WASP-78
2455873.56306 -0.0000  0.0041 WASP-78
2455873.56332 -0.0011  0.0041 WASP-78
2455873.56358 -0.0020  0.0041 WASP-78
2455873.56384  0.0005  0.0040 WASP-78
2455873.56409 -0.0049  0.0040 WASP-78
2455873.56435 -0.0036  0.0040 WASP-78
2455873.56461 -0.0014  0.0040 WASP-78
2455873.56487  0.0086  0.0040 WASP-78
2455873.56513  0.0058  0.0040 WASP-78
2455873.56539  0.0018  0.0040 WASP-78
2455873.56565  0.0062  0.0039 WASP-78
2455873.56591  0.0072  0.0039 WASP-78
2455873.56616 -0.0004  0.0039 WASP-78
2455873.56642  0.0028  0.0039 WASP-78
2455873.56668  0.0077  0.0039 WASP-78
2455873.56694  0.0091  0.0039 WASP-78
2455873.56719  0.0020  0.0039 WASP-78
2455873.56746  0.0028  0.0039 WASP-78
2455873.56775 -0.0019  0.0039 WASP-78
2455873.56800  0.0049  0.0038 WASP-78
2455873.56826  0.0042  0.0038 WASP-78
2455873.56851  0.0047  0.0038 WASP-78
2455873.56878  0.0029  0.0038 WASP-78
2455873.56903  0.0043  0.0038 WASP-78
2455873.56929  0.0011  0.0038 WASP-78
2455873.56955  0.0049  0.0038 WASP-78
2455873.56981  0.0042  0.0038 WASP-78
2455873.57006  0.0059  0.0037 WASP-78
2455873.57033 -0.0001  0.0037 WASP-78
2455873.57058  0.0027  0.0037 WASP-78
2455873.57084  0.0057  0.0037 WASP-78
2455873.57110  0.0077  0.0037 WASP-78
2455873.57139 -0.0028  0.0037 WASP-78
2455873.57166  0.0102  0.0036 WASP-78
2455873.57191  0.0111  0.0036 WASP-78
2455873.57217  0.0087  0.0036 WASP-78
2455873.57244  0.0119  0.0036 WASP-78
2455873.57269  0.0072  0.0036 WASP-78
2455873.57295 -0.0038  0.0036 WASP-78
2455873.57389 -0.0001  0.0036 WASP-78
2455873.57416  0.0092  0.0035 WASP-78
2455873.57441  0.0056  0.0036 WASP-78
2455873.57492  0.0025  0.0037 WASP-78
2455873.57518  0.0026  0.0038 WASP-78
2455873.57547  0.0062  0.0038 WASP-78
2455873.57572  0.0169  0.0041 WASP-78
2455873.57598  0.0083  0.0045 WASP-78
2455873.57623 -0.0013  0.0041 WASP-78
2455873.57652 -0.0002  0.0045 WASP-78
2455873.57678  0.0115  0.0044 WASP-78
2455873.57707  0.0044  0.0043 WASP-78
2455873.57732  0.0001  0.0039 WASP-78
2455873.57759  0.0079  0.0040 WASP-78
2455873.57784  0.0034  0.0038 WASP-78
2455873.57810  0.0112  0.0037 WASP-78
2455873.57842  0.0061  0.0035 WASP-78
2455873.57867  0.0088  0.0034 WASP-78
2455873.57893  0.0125  0.0034 WASP-78
2455873.57918  0.0063  0.0034 WASP-78
2455873.57945  0.0151  0.0033 WASP-78
2455873.57970  0.0135  0.0033 WASP-78
2455873.57996  0.0008  0.0034 WASP-78
2455873.58021  0.0059  0.0034 WASP-78
2455873.58048  0.0118  0.0034 WASP-78
2455873.58073  0.0107  0.0034 WASP-78
2455873.58102  0.0064  0.0034 WASP-78
2455873.58128  0.0083  0.0035 WASP-78
2455873.58153  0.0040  0.0036 WASP-78
2455873.58180  0.0124  0.0036 WASP-78
2455873.58209  0.0021  0.0035 WASP-78
2455873.58234  0.0181  0.0035 WASP-78
2455873.58292  0.0083  0.0036 WASP-78
2455873.58319  0.0091  0.0034 WASP-78
2455873.58344  0.0085  0.0035 WASP-78
2455873.58371  0.0104  0.0035 WASP-78
2455873.58396  0.0050  0.0036 WASP-78
2455873.58422  0.0110  0.0036 WASP-78
2455873.58448  0.0162  0.0034 WASP-78
2455873.58474  0.0087  0.0034 WASP-78
2455873.58501  0.0045  0.0034 WASP-78
2455873.58526  0.0069  0.0034 WASP-78
2455873.58551  0.0066  0.0033 WASP-78
2455873.58580  0.0157  0.0034 WASP-78
2455873.58606  0.0139  0.0033 WASP-78
2455873.58632  0.0024  0.0034 WASP-78
2455873.58710  0.0175  0.0037 WASP-78
2455873.58735  0.0097  0.0034 WASP-78
2455873.58766  0.0047  0.0032 WASP-78
2455873.58791  0.0039  0.0032 WASP-78
2455873.58818  0.0034  0.0032 WASP-78
2455873.58843  0.0081  0.0031 WASP-78
2455873.58869  0.0098  0.0031 WASP-78
2455873.58894  0.0122  0.0032 WASP-78
2455873.58921  0.0025  0.0031 WASP-78
2455873.58946  0.0052  0.0032 WASP-78
2455873.58972  0.0050  0.0032 WASP-78
2455873.58998  0.0068  0.0031 WASP-78
2455873.59024  0.0091  0.0031 WASP-78
2455873.59049  0.0020  0.0031 WASP-78
2455873.59104  0.0100  0.0031 WASP-78
2455873.59129  0.0074  0.0031 WASP-78
2455873.59156  0.0019  0.0031 WASP-78
2455873.59186  0.0071  0.0030 WASP-78
2455873.59211  0.0063  0.0030 WASP-78
2455873.59262  0.0061  0.0030 WASP-78
2455873.59314  0.0115  0.0029 WASP-78
2455873.59494  0.0083  0.0029 WASP-78
2455873.59524  0.0049  0.0029 WASP-78
2455873.59549  0.0120  0.0029 WASP-78
2455873.59575  0.0071  0.0029 WASP-78
2455873.59600  0.0141  0.0029 WASP-78
2455873.59627  0.0048  0.0029 WASP-78
2455873.59652  0.0085  0.0029 WASP-78
2455873.59678  0.0104  0.0029 WASP-78
2455873.59707  0.0098  0.0028 WASP-78
2455873.59733  0.0067  0.0028 WASP-78
2455873.59759  0.0111  0.0028 WASP-78
2455873.59784  0.0065  0.0028 WASP-78
