# From https://iopscience.iop.org/article/10.1088/0004-6256/144/5/139
#
#Title: HAT-P-39b - HAT-P-41b: Three Highly Inflated Transiting Hot Jupiters
#Authors: Hartman J.D., Bakos G.A., Beky B., Torres G., Latham D.W., Csubry Z., 
#         Penev K., Shporer A., Fulton B.J., Buchhave L.A., Johnson J.A., 
#         Howard A.W., Marcy G.W., Fischer D.A., Kovacs G., Noyes R.W., 
#         Esquerdo G.A., Everett M., Szklenar T., Quinn S.N., Bieryla A., 
#         Knox R.P., Hinz P., Sasselov D.D., Furesz G., Stefanik R.P., Lazar J.,
#         Papp I., Sari P. 
#Table: High-precision differential photometry of HAT-P-41
#================================================================================
#Byte-by-byte Description of file: aj445162t8_mrt.txt
#--------------------------------------------------------------------------------
#   Bytes Format Units   Label   Explanations
#--------------------------------------------------------------------------------
#   1- 11 F11.5  d       BJD     Barycentric Julian Date; 2400000+ (1)
#  13- 20 F8.5   mag     mag     Processed magnitude in Filter (2)
#  22- 28 F7.5   mag   e_mag     The 1{sigma} error in mag
#  30- 37 F8.5   mag     Omag    Original magnitude in Filter (3)
#      39 A1     ---     Filter  Filter used in the observation
#--------------------------------------------------------------------------------
#Note (1): Calculated directly from UTC, with- out correction for leap seconds.
#Note (2): The out-of-transit level has been subtracted. These magnitudes have 
#          been subjected to the EPD and TFA procedures, carried out 
#          simultaneously with the transit fit.
#Note (3): Raw magnitude values without application of the EPD and TFA 
#          procedures.
#--------------------------------------------------------------------------------
#FLWO
55344.85517  0.01165 0.00073 10.01100 i 
55344.85583  0.01387 0.00073 10.01420 i 
55344.85653  0.01064 0.00073 10.00990 i 
55344.85719  0.01195 0.00073 10.01190 i 
55344.85787  0.01249 0.00073 10.01170 i 
55344.85868  0.00975 0.00073 10.00960 i 
55344.85937  0.00959 0.00072 10.00840 i 
55344.86006  0.01387 0.00073 10.01350 i 
55344.86075  0.01231 0.00073 10.01160 i 
55344.86141  0.01324 0.00072 10.01220 i 
55344.86211  0.00981 0.00072 10.00910 i 
55344.86279  0.01162 0.00073 10.01120 i 
55344.86346  0.01379 0.00072 10.01260 i 
55344.86414  0.01168 0.00072 10.01160 i 
55344.86480  0.01202 0.00073 10.01200 i 
55344.86547  0.01172 0.00072 10.01140 i 
55344.86615  0.01151 0.00072 10.01110 i 
55344.86683  0.01062 0.00073 10.01090 i 
55344.86752  0.00997 0.00072 10.01000 i 
55344.86819  0.01371 0.00073 10.01340 i 
55344.86887  0.01346 0.00072 10.01260 i 
55344.86954  0.01354 0.00072 10.01280 i 
55344.87023  0.01288 0.00072 10.01250 i 
55344.87091  0.01547 0.00072 10.01370 i 
55344.87161  0.01013 0.00072 10.00960 i 
55344.87229  0.01146 0.00073 10.01080 i 
55344.87297  0.01152 0.00072 10.01100 i 
55344.87363  0.01276 0.00072 10.01260 i 
55344.87431  0.01227 0.00072 10.01250 i 
55344.87497  0.01338 0.00072 10.01270 i 
55344.87564  0.01407 0.00072 10.01330 i 
